DOCTECH_numero,Designation,Maturity,n,total,riesgo,ELTDEC_numero,ELTDEC_designation,FAM_code,FCT_numero,FCT_nature,FCT_designation,FCT_BE_resp,VAR_numero,VAR_type,VAR_argument_produit_1,VAR_argument_produit_2,VAR_prix_previ,VAR_masse_previ,SOL_numero,SOL_site_production,SOL_sce,SOL_appariement,ESO_numero,ESO_etat,ESO_num_appro,ESO_date_histo,ESO_num_PG,ESO_commonalite,ESO_commentaire,ESO_designation_PG,ESO_code_SH,ESO_fourn_pilote,ESO_type_concur,ESO_mas_prob,ESO_mas_recy,ESO_risque,ESO_ecart_mas1,ESO_ecart_mas2,ESO_potentiel,ESO_coef,ESO_design_dos_fct,ESO_BE_resp,ESO_indice_dos_fct,AFU_int_site,AFU_int_sce,AFU_int_validite,AFU_ext_site,AFU_ext_sce,AFU_ext_validite,ECO_statut,ECO_sol_ext,ECO_parallel_set_cod,ECO_commentaire,PIE_numero,PIE_designation,PIE_type,PIE_BE_resp,PIE_sce_gest,PIE_sce_colead,PIE_ldr_conception,PIE_Nis_pie_numero,PIE_unite,AFF_POI_site,AFF_POI_sce,AFF_POI_validite,AFF_POE_site,AFF_POE_sce,AFF_POE_validite,AFF_uti_SIGNE,AFF_uti_G2B,PIE_cod_RSE,PIE_vital_part,PIE_code_nature,PIE_code_techno,PIE_sct_ach,PIE_fournisseur,PIE_cod_fab,PIE_source,PIE_gest_MDS,PIE_prix_std,PIE_prix_hors_amort,PIE_inducteur1,PIE_inducteur2,PIE_creation_comment,PIE_gest_PPU,PIE_maj_PPU,PIEIND_indice,PIEIND_statut,PIEIND_Dernier_indice,PIEIND_Dernier_statut,PIEIND_marquage_pays,PIEIND_masse,PIEIND_type_masse,PIEIND_nuance_protection,PIEIND_epaisseur,PIEIND_typologie,DOCTECH_BE_resp,DOCTECH_type,DOCTECH_indice,DOCTECH_indice_mineur,DOCTECH_flag_nis
041000001R,ECROU TOLE M6 X100 SA3GS,Validated,8,8,0,74,COMMANDES CHASSIS,X52,F10436,Fonction,MECANISME DE FREIN DE STATIONNEMENT,Renault,1,Projet,TT,,NA,NA,5,,0RDBA,NA,2,Valide, 	 ,18/01/2016,F10436/AY,NA,,PROTECTEUR MECANISME DE FREIN DE STATIONNEMENT,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,2,NA,,,OCM,0RDBA,Officielle,,,,BE,,NA,, 	 041000001R,ECROU TOLE M6 X100 SA3GS,RMU,Renault,00APS,KYC,Renault, 	 ," PCE Pièce, Unité",,,," EXT,SFK",00APS,Officielle," EXT,REV,TAN,UGB,PAL,UPL,BUR,VAL,ORU,UAS,IKO,IPK,MOP,OCM,MAH,RMA,NSA,TOA,RSM,CHN,CAR,AGV,COR,LUT,NB1,MCA,DPE,LHA,NVU,HAM,ORA,WUH,PLS,IZH,SOV,VUC,TCM,BUM,MOT,TKD,SNY",,---,NA,S,71K,64Y,RENAULT SAS DEPOT RLT SOFRAS,5X,,Oui,NA,NA,Non définie,Non définie,Initialisation par PDP,,,--G,BE,--G,BE,NA,0.004,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,--G,8,Non partagé
112104966R,TAMPON HYDRO-ELASTIQUE AV D,Validated,2,2,0,72,SUSPENSION GMP,X52,F10249,Fonction,FILTRATION SUR SUSPENSION GMP D,Renault,2,Projet," MOT K9K, F4R",,NA,NA,2,,RSPOR,NA,2,Valide, 	 ,21/10/2014,F10249/AA,NA,,TAMPON DE SUSPENSION GMP D,8708.99,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," UAS,TAN,MOP",RSPOR,Officielle,,,,BE,,NA,, 	 112103095R,TAMPON HYDRO-ELASTIQUE AV D,PIE,Renault,65500,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,65500,Officielle," EXT,TAN,MOP,UPL,BUR,UAS,COR,CHN",,R--,NA,-,XDR,,PAULSTRA SNC,U1,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Non définie,Initialisation par PDP,,,--C,BE,--C,BE,NA,1.221,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--A,2,Non partagé
112104991R,TAMPON ELASTIQUE AV D ASS,Validated,1,1,0,72,SUSPENSION GMP,X79,ASS008768,Fonction,TAMPON SUSPENSION D GMP ASS,Renault,17,Projet," PH2 - H4M, H4K (BVM5+CVTX)+PH1 PRIME NISSAN RUSSIE",,NA,NA,2,,0M000,NA,1,Valide, 	 ,13/03/2014,ASS008768,NA,,TAMPON DE SUSPENSION GMP D ASS,,NA,Fournisseur,NA,NA,NA,0,0,NA,1,NA,,,MOP,0M000,Officielle,,,,BE,,NA,, 	 112104991R,TAMPON ELASTIQUE AV D ASS,PIE,Renault,0M000,XCP,Renault, 	 ," PCE Pièce, Unité",MOP,0M000,Officielle,,,," MOP,VAL,OCM",,---,NA,*,XDR,,AUTOMOBILE DACIA S.A. ACHATS,VB,,Non,NA,NA,Design - Montée en Gamme - Teintes,Version dérivée ou série limitée,,,,--A,BE,--A,BE,NA,1.497,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,---,3,Non partagé
112105431R,TAMPON ELASTIQUE AV D ASS,Validated,1,1,0,72,SUSPENSION GMP,X52,ASS008768,Fonction,TAMPON SUSPENSION D GMP ASS,Renault,16,Projet,B4D,,NA,NA,1,,0RDBA,NA,1,Valide, 	 ,13/03/2017,ASS008768,NA,,TAMPON DE SUSPENSION GMP D ASS,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," ORA,MOP,UAS",0M000,Officielle,,,,BE,,NA,, 	 112105431R,TAMPON ELASTIQUE AV D ASS,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité"," UAS,MOP",0M000,Officielle,,,," MOP,UAS,ORA",,---,NA,*,XDR,,AUTOMOBILE DACIA S.A. ACHATS,1L,,Non,NA,NA,Design - Montée en Gamme - Teintes,Version dérivée ou série limitée,B4D,,,---,BE,---,BE,NA,1.885,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,6,Non partagé
112105978R,TAMPON ELASTIQUE AV D ASS,Validated,1,1,0,72,SUSPENSION GMP,XBB,ASS008768,Fonction,TAMPON SUSPENSION D GMP ASS,Renault,2,Projet,BBB SAUF E0,,NA,NA,1,,0INDE,NA,1,Valide, 	 ,28/08/2015,ASS008768,NA,,TAMPON DE SUSPENSION GMP D ASS,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,UAS,0INDE,Officielle,,,,BE,,NA,, 	 112105978R,TAMPON ELASTIQUE AV D ASS,PIE,Renault,0INDE,KZ4,Renault, 	 ," PCE Pièce, Unité",UAS,0INDE,Officielle,,,,UAS,,---,NA,*,,,RENAULT DO BRASIL,8B,,Non,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,---,BE,---,BE,NA,0.8,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,1,Non partagé
112106577R,TAMPON ELASTIQUE AV D,Validated,6,6,0,72,SUSPENSION GMP,X52,F10249,Fonction,FILTRATION SUR SUSPENSION GMP D,Renault,1,Projet," K7M,K4M,D4D,H4M",,NA,NA,1,,0RDBA,NA,2,Valide, 	 ,25/05/2017,F10249/AA,NA,,TAMPON DE SUSPENSION GMP D,8708.99,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," COR,UAS,TAN,MOP",0RDBA,Officielle,EXT,0RDBA,Officielle,BE,,NA,, 	 112106577R,TAMPON ELASTIQUE AV D,PIE,Renault,65500,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,65500,Officielle," EXT,TAN,UAS,MOP,UPL,COR",,---,NA,-,,,BOGE ELASTMETALL  FRANCE SAS,YA,,Oui,NA,NA,Non définie,Non définie,Initialisation par PDP,,,--E,BE,--E,BE,NA,0.602,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--E,8,
112107399R,TAMPON HYDRO-ELASTIQUE AV D ASS,Validated,2,2,0,72,SUSPENSION GMP,X79,ASS008768,Fonction,TAMPON SUSPENSION D GMP ASS,Renault,7,Projet,PH2 - TR4X4 K9K,,NA,NA,3,,0M000,NA,1,Valide, 	 ,13/01/2014,ASS008768,NA,,TAMPON DE SUSPENSION GMP D ASS,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," ORU,MOP",0M000,Officielle,,,,BE,,NA,, 	 112107399R,TAMPON HYDRO-ELASTIQUE AV D ASS,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",MOP,0M000,Officielle,,,," MOP,ORU",,P--,NA,*,XDR,,,SE,,Non,NA,NA,Prestations Véhicules et Organes,Résolution pb Qualité - Fiab / LUP QC / SdF / SGP,QX79004579,,,--A,BE,--A,BE,NA,2.152,Calcul automatique,,,Plan et Num 3D obligatoires,Renault,Plan,--A,3,Non partagé
112108300R,TAMPON ELASTIQUE AV D ASS,Validated,1,1,0,72,SUSPENSION GMP,X79,ASS008768,Fonction,TAMPON SUSPENSION D GMP ASS,Renault,14,Projet,PH2 - H4M (BVM6+BVR6)+PH1 PRIME NISSAN RUSSIE,,NA,NA,1,,0M000,NA,1,Valide, 	 ,13/03/2014,ASS008768,NA,,TAMPON DE SUSPENSION GMP D ASS,,NA,Fournisseur,0,0,NA,0,0,NA,1,NA,,,ORU,0M000,Officielle,,,,BE,,NA,, 	 112108300R,TAMPON ELASTIQUE AV D ASS,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",MOP,0M000,Officielle,,,,ORU,,---,NA,*,,,,BD,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Montée en gamme / Nouvelle teinte,,,,---,BE,---,BE,NA,1.397,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,3,Non partagé
112115262R,TAMPON ELASTIQUE AV D,Validated,1,1,0,72,SUSPENSION GMP,X52,F10249,Fonction,FILTRATION SUR SUSPENSION GMP D,Renault,5,Projet,H4M + K4M BVA ET H4M,,NA,NA,1,,0RDBA,NA,1,Valide, 	 ,23/05/2018,F10249/AA,NA,,TAMPON DE SUSPENSION GMP D,8708.99,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," COR,UAS,MOP",0RDBA,Officielle,EXT,0RDBA,Officielle,BE,,NA,, 	 112115262R,TAMPON ELASTIQUE AV D,PIE,Renault,0M000,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," EXT,UAS,MOP,TAN,IZH,TOA,COR",,---,NA,-,XDR,,VIBRACOUSTIC VOLGA LLC,EH,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Montée en gamme / Nouvelle teinte,QX79006231,,,---,BE,---,BE,NA,0.798,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,1,Non partagé
112202847R,TAMPON ELASTIQUE AV G,Validated,1,1,0,72,SUSPENSION GMP,X79,F10666,Fonction,FILTRATION SUR SUSPENSION GMP G,Renault,14,Projet," PH2 -  BVA6, BVM6  K9K TL8",,NA,NA,1,,0M000,NA,1,Valide, 	 ,26/11/2014,F10666/AA,NA,,TAMPON DE SUSPENSION GMP G,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," CHN,ORU,MOP",0INDE,Officielle,,,,BE,,NA,, 	 112202847R,TAMPON ELASTIQUE AV G,PIE,Renault,65500,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,RSPOR,Officielle," MOP,CHN,UAS,ORU,VAL,DPE,UPL,BUR,HAM,REV,MCA,TCM,OCM,ORA,VUC",,---,NA,-,XDR,,KIRPART OTOMOTIV PARCALARI S,GB,,Oui,NA,NA,Non définie,Non définie,Initialisation par PDP,,,---,BE,---,BE,NA,0.406,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,2,Non partagé
112205217R,TAMPON ELASTIQUE AV G,Validated,2,2,0,72,SUSPENSION GMP,X52,F10666,Fonction,FILTRATION SUR SUSPENSION GMP G,Renault,3,Projet,BVM6,,NA,NA,1,,RSPOR,NA,1,Valide, 	 ,02/10/2014,F10666/AA,NA,,TAMPON DE SUSPENSION GMP G,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,UAS,RSPOR,Officielle,,,,BE,,NA,, 	 112205217R,TAMPON ELASTIQUE AV G,PIE,Renault,65500,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,65500,Officielle," EXT,TAN,UPL,BUR,MCA,VAL,CHN,REV,HAM,MOP,UAS,ORU,TOA,OCM,COR,ORA,VUC,RMA",,---,NA,-,XDR,,PAULSTRA SNC,1J,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Non définie,Initialisation par PDP,,,--B,BE,--B,BE,NA,0.406,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--A,1,Non partagé
112209464R,TAMPON ELASTIQUE AV G,Validated,3,3,0,72,SUSPENSION GMP,X52,F10666,Fonction,FILTRATION SUR SUSPENSION GMP G,Renault,1,Projet," TOUS TYPES SAUF BVA,BVM6,BVR6,H4M, BVM5, CVTX",,NA,NA,1,,0RDBA,NA,1,Valide, 	 ,11/06/2015,F10666/AA,NA,,TAMPON DE SUSPENSION GMP G,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," COR,OCM,IZH,ORA,UAS,TOA,TAN,RMA,MOP",0RDBA,Officielle,,,,BE,,NA,, 	 112209464R,TAMPON ELASTIQUE AV G,PIE,Renault,65500,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,65500,Officielle," TAN,MOP,RMA,CHN,ORA,TOA,IZH,ORU,OCM,UAS,COR",,---,NA,Y,XDR,,TRELLEBORG AUTOMOTIVE EUROPE,F0,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Non définie,Initialisation par PDP,,,--B,BE,--B,BE,NA,0.764,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--B,6,Non partagé
112210361R,TAMPON SUSPENSION GMP G ASS,Validated,2,2,0,72,SUSPENSION GMP,XBB,ASS011598,Fonction,TAMPON SUSPENSION G GMP ASS,Renault,2,Projet,BBB SAUF E0,,NA,NA,1,,0INDE,NA,1,Valide, 	 ,28/08/2015,ASS011598,NA,,TAMPON DE SUSPENSION GMP G ASS,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,UAS,0INDE,Officielle,,,,BE,,NA,, 	 112210361R,TAMPON SUSPENSION GMP G ASS,PIE,Renault,0INDE,KZ4,Renault, 	 ," PCE Pièce, Unité",UAS,0INDE,Officielle,,,,UAS,,---,NA,*,,,RENAULT DO BRASIL,UR,,Non,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--A,BE,--A,BE,NA,0.796,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--A,2,Non partagé
