Tipo,Name / Id,Index (Revision),Version,Maturity,Designation,English designation,Propietario,Project,Organization,Family Project,Route State,Approval Status,Assignee
Doc Plan,762154072R,--D,6,Validated,SUPPORT DBL ETANCHEITE PRT AV C/CS G,"SUPT-BODY SIDE DBL SEAL, FR LH PART",GDGADM,ET_RENAULT,SYN,L52,,,
Doc Plan,762154072R,--E,7,Validated,SUPPORT DBL ETANCHEITE PRT AV C/CS G,"SUPT-BODY SIDE DBL SEAL, FR LH PART",GDGADM,ET_RENAULT,SYN,L52,,,
Doc Plan,8200309441,--C,5,Validated,PLAQUETTE FIXATION ARRET PORTE ASS,"PLATE ASSY-FIXING, DOOR STOP",a032016,CAC,VEH,L90,,,
Doc Plan,8200309441,--D,6,Validated,PLAQUETTE FIXATION ARRET PORTE ASS,"PLATE ASSY-FIXING, DOOR STOP",a032016,CAC,VEH,L90,,,
Doc Plan,8200309441,--E,9,Validated,PLAQUETTE FIXATION ARRET PORTE ASS,"PLATE ASSY-FIXING, DOOR STOP",GDGADM,ET_RENAULT,VEH,L90,,,
Doc Plan,8200309441,---,1,Frozen,PLAQUETTE FIXATION ARRET PORTE ASS,"PLATE ASSY-FIXING, DOOR STOP",GDGADM,ET_RENAULT,SYN,L90,,,
Doc Plan,8200309441,---,2,Validated,PLAQUETTE FIXATION ARRET PORTE ASS,"PLATE ASSY-FIXING, DOOR STOP",GDGADM,ET_RENAULT,SYN,L90,,,
Doc Plan,8200309441,--A,3,Validated,PLAQUETTE FIXATION ARRET PORTE ASS,"PLATE ASSY-FIXING, DOOR STOP",GDGADM,ET_RENAULT,SYN,L90,,,
Doc Plan,8200309441,--B,4,Validated,PLAQUETTE FIXATION ARRET PORTE ASS,"PLATE ASSY-FIXING, DOOR STOP",GDGADM,ET_RENAULT,VEH,L90,,,
Doc Plan,8200309441,--F,10,Validated,PLAQUETTE FIX ARRET PORTE ASS,"PLATE ASSY-MTG, DOOR STOP",pt00240,ET_RENAULT,VEH,L90,Finished,Approve,at03896
Doc Plan,763573817R,---,1,Validated,GOUTTIERE LAT AR G,DRIP-SIDE RR LH,GDGADM,ET_RENAULT,SYN,,,,
Doc Plan,763573817R,--A,2,Validated,GOUTTIERE LAT AR G,DRIP-SIDE RR LH,GDGADM,ET_RENAULT,SYN,,,,
Doc Plan,763573817R,--B,3,Validated,GOUTTIERE LAT AR G,DRIP-SIDE RR LH,GDGADM,ET_RENAULT,SYN,,,,
Doc Plan,763573817R,--C,12,Validated,GOUTTIERE LAT AR G,DRIP-SIDE RR LH,GDGADM,ET_RENAULT,SYN,L52,,,
Doc Plan,763573817R,--D,13,Validated,GOUTTIERE LAT AR G,DRIP-SIDE RR LH,GDGADM,ET_RENAULT,SYN,L52,,,
Doc Plan,763573817R,--E,14,Validated,GOUTTIERE LAT AR G,DRIP-SIDE RR LH,GDGADM,ET_RENAULT,SYN,L52,,,
Doc Plan,763573817R,--F,15,Validated,GOUTTIERE LAT AR G,DRIP-SIDE RR LH,py01322,ET_RENAULT,VEH,L52,Finished,Approve,ay05465
Doc Plan,766598102R,---,1,Validated,GOUTTIERE LAT INF AR G,DRIP-SIDE RR LWR LH,GDGADM,ET_RENAULT,SYN,,,,
Doc Plan,766598102R,--A,2,Validated,GOUTTIERE LAT INF AR G,DRIP-SIDE RR LWR LH,GDGADM,ET_RENAULT,SYN,L52,,,
Doc Plan,766598102R,--B,3,Validated,GOUTTIERE LAT INF AR G,DRIP-SIDE RR LWR LH,GDGADM,ET_RENAULT,SYN,,,,
Doc Plan,766598102R,--F,12,Validated,GOUTTIERE LAT INF AR G,DRIP-SIDE RR LWR LH,GDGADM,ET_RENAULT,SYN,,,,
Doc Plan,766598102R,--G,13,Validated,GOUTTIERE LAT INF AR G,DRIP-SIDE RR LWR LH,GDGADM,ET_RENAULT,SYN,,,,
Doc Plan,766598102R,--H,14,Validated,GOUTTIERE LAT INF AR G,DRIP-SIDE RR LWR LH,GDGADM,ET_RENAULT,SYN,,,,
Doc Plan,766598102R,--K,18,Validated,GOUTTIERE LAT INF AR G,DRIP-SIDE RR LWR LH,GDGADM,ET_RENAULT,SYN,L52,,,
Doc Plan,766598102R,--L,19,Validated,GOUTTIERE LAT INF AR G,DRIP-SIDE RR LWR LH,GDGADM,ET_RENAULT,SYN,L52,,,
Doc Plan,766598102R,--E,11,Validated,GOUTTIERE LAT INF AR G,DRIP-SIDE RR LWR LH,GDGADM,ET_RENAULT,SYN,,,,
Doc Plan,766598102R,--J,15,Validated,GOUTTIERE LAT INF AR G,DRIP-SIDE RR LWR LH,GDGADM,ET_RENAULT,SYN,L52,,,
Doc Plan,763572736R,--A,1,Validated,GOUTTIERE LAT AR G,DRIP-SIDE RR LH,GDGADM,ET_RENAULT,SYN,,,,
Doc Plan,763572736R,--B,2,Validated,GOUTTIERE LAT AR G,DRIP-SIDE RR LH,GDGADM,ET_RENAULT,SYN,,,,
Doc Plan,763572736R,--C,3,Validated,GOUTTIERE LAT AR G,DRIP-SIDE RR LH,GDGADM,ET_RENAULT,SYN,,,,
Doc Plan,763572736R,--D,4,Validated,GOUTTIERE LAT AR G,DRIP-SIDE RR LH,GDGADM,ET_RENAULT,SYN,,,,
Doc Plan,763572736R,--H,12,Validated,GOUTTIERE LAT AR G,DRIP-SIDE RR LH,GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,763572736R,--L,16,Validated,GOUTTIERE LAT AR G,DRIP-SIDE RR LH,ADMTE_TOUSR,ET_RENAULT,VEH,B52,,,
Doc Plan,763572736R,--J,13,Validated,GOUTTIERE LAT AR G,DRIP-SIDE RR LH,GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,763572736R,--K,14,Validated,GOUTTIERE LAT AR G,DRIP-SIDE RR LH,GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,763572736R,--M,17,Refused,GOUTTIERE LAT AR G,DRIP-SIDE RR LH,py05176,ET_RENAULT,VEH,B52,Stopped,Approve|<br/>Reject|<br/>,ay23642|<br/>ay24668|<br/>bw59069
Doc Plan,763572736R,--M,18,Validated,GOUTTIERE LAT AR G,DRIP-SIDE RR LH,py05176,ET_RENAULT,VEH,B52,Finished,Approve|<br/>Approve|<br/>Approve,ay23642|<br/>bw59069|<br/>ay24668
Doc Plan,763572736R,--N,20,Validated,GOUTTIERE LAT AR G,DRIP-SIDE RR LH,py04543,ET_RENAULT,VEH,B52,Finished,Approve,ay23642
Doc Plan,763574406R,--B,6,Validated,GOUTTIERE LAT AR G,DRIP-SIDE RR LH,GDGADM,ET_RENAULT,SYN,,,,
Doc Plan,763574406R,--E,7,Validated,GOUTTIERE LAT AR G,DRIP-SIDE RR LH,GDGADM,ET_RENAULT,SYN,K52,,,
Doc Plan,763574406R,--F,9,Validated,GOUTTIERE LAT AR G,DRIP-SIDE RR LH,GDGADM,ET_RENAULT,SYN,K52,,,
Doc Plan,763574406R,--G,10,Validated,GOUTTIERE LAT AR G,DRIP-SIDE RR LH,GDGADM,ET_RENAULT,SYN,K52,,,
Doc Plan,763574406R,--H,11,Validated,GOUTTIERE LAT AR G,DRIP-SIDE RR LH,GDGADM,ET_RENAULT,SYN,K52,,,
Doc Plan,763574406R,--J,13,Validated,GOUTTIERE LAT AR G,DRIP-SIDE RR LH,py02852,ET_RENAULT,VEH,K52,Finished,Approve|<br/>Approve|<br/>Approve,ay05465|<br/>bw58602|<br/>ay09560
Doc Plan,7703074608,--F,6,Validated,"OBTURATEUR DIAM. 10,2",PLUG 10 A 12,a866384,STD,SYN,STD,,,
Doc Plan,7703074608,--A,1,Validated,"OBTURATEUR DIAM. 10,2",NO VALUE,GDGADM,STD,SYN,STD,,,
Doc Plan,7703074608,--B,2,Validated,"OBTURATEUR DIAM. 10,2",NO VALUE,GDGADM,STD,VEH,STD,,,
Doc Plan,7703074608,--C,3,Validated,"OBTURATEUR DIAM. 10,2",NO VALUE,GDGADM,STD,VEH,STD,,,
Doc Plan,7703074608,--D,4,Validated,"OBTURATEUR DIAM. 10,2",PLUG 10 A 12,GDGADM,STD,VEH,STD,,,
Doc Plan,7703074608,--E,5,Validated,"OBTURATEUR DIAM. 10,2",PLUG 10 A 12,GDGADM,STD,VEH,STD,,,
Doc Plan,7703074608,--G,7,Validated,"OBTURATEUR DIAM. 10,2",PLUG 10 A 12,GDGADM,STD,SYN,STD,,,
Doc Plan,7703074608,--H,8,Validated,"OBTURATEUR DIAM. 10,2",PLUG 10 A 12,GDGADM,STD,VEH,STD,,,
Doc Plan,7703074608,--J,12,Validated,"OBTURATEUR DIAM. 10,2",PLUG 10 A 12,GDGADM,STD,SYN,STD,,,
Doc Plan,7703074608,--K,13,Validated,"OBTURATEUR DIAM. 10,2",PLUG 10 A 12,GDGADM,STD,SYN,STD,,,
Doc Plan,7703074582,--D,4,Validated,"OBTURATEUR 16,2X20,2",NO VALUE,GDGADM,STD,SYN,STD,,,
Doc Plan,7703074582,--E,5,Validated,"OBTURATEUR 16,2X20,2","PLUG 16,2X20,2",GDGADM,STD,VEH,STD,,,
Doc Plan,7703074582,--F,6,Validated,"OBTURATEUR 16,2X20,2","PLUG 16,2X20,2",GDGADM,STD,SYN,STD,,,
Doc Plan,7703074582,--G,7,Validated,"OBTURATEUR 16,2X20,2","PLUG 16,2X20,2",GDGADM,STD,VEH,STD,,,
Doc Plan,7703074649,---,1,Validated,OBTURATEUR 12.2 12.7 THERMO-FUSIBLE,PLUG 12.2 12.7 HOLT-MELT,GDGADM,STD,VEH,XSTD,,,
Doc Plan,7703074649,--A,2,Validated,OBTURATEUR 12.2 12.7 THERMO-FUSIBLE,PLUG 12.2 12.7 HOLT-MELT,GDGADM,STD,SYN,XSTD,,,
Doc Plan,7703074649,--B,3,Validated,OBTURATEUR 12.2 12.7 THERMO-FUSIBLE,PLUG 12.2 12.7 HOLT-MELT,GDGADM,STD,VEH,XSTD,,,
Doc Plan,7703074649,--C,4,Validated,OBTURATEUR 12.2 12.7 THERMO-FUSIBLE,PLUG 12.2 12.7 HOLT-MELT,GDGADM,STD,SYN,XSTD,,,
Doc Plan,7703074649,--D,5,Validated,OBTURATEUR 12.2 12.7 THERMO-FUSIBLE,PLUG 12.2 12.7 HOLT-MELT,a866384,STD,SYN,XSTD,Finished,Approve,a032354
Doc Plan,7707074030,---,1,Validated,OBTURATEUR 20X50,PLUG 20X50,GDGADM,STD,SYN,STD,,,
Doc Plan,7707074024,--C,4,Validated,OBTURATEUR 20X50,PLUG 20X50,GDGADM,STD,SYN,STD,,,
Doc Plan,7707074024,---,1,Validated,OBTURATEUR 20X50,PLUG 20X50,GDGADM,STD,SYN,STD,,,
Doc Plan,7707074024,--A,2,Validated,OBTURATEUR 20X50,PLUG 20X50,GDGADM,STD,SYN,STD,,,
Doc Plan,7707074024,--B,3,Validated,OBTURATEUR 20X50,PLUG 20X50,GDGADM,STD,SYN,STD,,,
Doc Plan,7707074025,---,1,Validated,OBTURATEUR 16X32,PLUG 16X32,GDGADM,STD,SYN,STD,,,
Doc Plan,801279428R,---,10,Validated,RENFORT CHARNIERE INF PIED AV G ASS,"REINF ASSY-LWR HINGE FR PLR,LH",GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,801279428R,--A,11,Validated,RENFORT CHARNIERE INF PIED AV G ASS,"REINF ASSY-LWR HINGE FR PLR,LH",GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,801279428R,--B,13,Validated,RENFORT CHARNIERE INF PIED AV G ASS,"REINF ASSY-LWR HINGE FR PLR,LH",GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,801279428R,--C,15,Validated,RENFORT CHARNIERE INF PIED AV G ASS,"REINF ASSY-LWR HINGE FR PLR,LH",py03413,ET_RENAULT,VEH,B52,Finished,Approve|<br/>Approve|<br/>Approve|<br/>Approve|<br/>Approve|<br/>Approve,ay05465|<br/>ay24668|<br/>ay11455|<br/>bw59069|<br/>a192101|<br/>a033370
Doc Plan,801192401R,---,9,Validated,RENFORT CHARNIERE SUP PIED AV G ASS,"REINF ASSY-UPR HINGE FR PLR,LH",GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,801192401R,--A,10,Validated,RENFORT CHARNIERE SUP PIED AV G ASS,"REINF ASSY-UPR HINGE FR PLR,LH",GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,801192401R,--B,12,Validated,RENFORT CHARNIERE SUP PIED AV G ASS,"REINF ASSY-UPR HINGE FR PLR,LH",GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,801192401R,--C,15,Validated,RENFORT CHARNIERE SUP PIED AV G ASS,"REINF ASSY-UPR HINGE FR PLR,LH",py03413,ET_RENAULT,VEH,B52,Finished,Approve|<br/>Approve|<br/>Approve|<br/>Approve|<br/>Approve|<br/>Approve,ay05465|<br/>ay24668|<br/>bw59069|<br/>ay11455|<br/>a192101|<br/>a033370
Doc Plan,765974201R,--A,1,Validated,RENFORT GACHE PORTE AR G,"REINF-RR DOOR STRIKER,LH",GDGADM,ET_RENAULT,SYN,,,,
Doc Plan,765974201R,--B,3,Validated,RENFORT GACHE PORTE AR G,"REINF-RR DOOR STRIKER,LH",GDGADM,ET_RENAULT,SYN,,,,
Doc Plan,765974201R,--C,4,Validated,RENFORT GACHE PORTE AR G,"REINF-RR DOOR STRIKER,LH",GDGADM,ET_RENAULT,SYN,,,,
Doc Plan,765974201R,--E,12,Validated,RENFORT GACHE PORTE AR G,"REINF-RR DOOR STRIKER,LH",GDGADM,ET_RENAULT,SYN,L52,,,
Doc Plan,765974201R,--F,13,Validated,RENFORT GACHE PORTE AR G,"REINF-RR DOOR STRIKER,LH",GDGADM,ET_RENAULT,SYN,L52,,,
Doc Plan,765974201R,--G,15,Validated,RENFORT GACHE PORTE AR G,"REINF-RR DOOR STRIKER,LH",GDGADM,ET_RENAULT,SYN,L52,,,
Doc Plan,765974201R,--H,16,Validated,RENFORT GACHE PORTE AR G,"REINF-RR DOOR STRIKER,LH",GDGADM,ET_RENAULT,SYN,L52,,,
Doc Plan,765974201R,--D,11,Validated,RENFORT GACHE PORTE AR G,"REINF-RR DOOR STRIKER,LH",GDGADM,ET_RENAULT,SYN,L52,,,
Doc Plan,765974201R,--J,17,Validated,RENFORT GACHE PORTE AR G,"REINF-RR DOOR STRIKER,LH",py01560,ET_RENAULT,VEH,L52,Finished,Approve|<br/>Approve|<br/>Approve|<br/>Approve|<br/>Approve|<br/>Approve,ay11455|<br/>ay23642|<br/>ay24668|<br/>bw59069|<br/>a192101|<br/>a033370
Doc Plan,781418775R,---,1,Validated,ELEMENT SUPPORT FEU G ASS,SUPT ASSY-LH LAMP,GDGADM,ET_RENAULT,SYN,L52,,,
Doc Plan,781418775R,--A,5,Validated,ELEMENT SUPPORT FEU G ASS,SUPT ASSY-LH LAMP,GDGADM,ET_RENAULT,SYN,L52,,,
Doc Plan,781418775R,--B,7,Validated,ELEMENT SUPPORT FEU G ASS,SUPT ASSY-LH LAMP,GDGADM,ET_RENAULT,SYN,L52,,,
Doc Plan,781418775R,--C,9,Validated,ELEMENT SUPPORT FEU G ASS,SUPT ASSY-LH LAMP,GDGADM,ET_RENAULT,SYN,L52,,,
Doc Plan,781418775R,--D,10,Validated,ELEMENT SUPPORT FEU G ASS,SUPT ASSY-LH LAMP,GDGADM,ET_RENAULT,SYN,L52,,,
Doc Plan,781418775R,--E,11,Validated,ELEMENT SUPPORT FEU G ASS,SUPT ASSY-LH LAMP,GDGADM,ET_RENAULT,SYN,L52,,,
Doc Plan,781418775R,--F,12,Validated,ELEMENT SUPPORT FEU G ASS,SUPT ASSY-LH LAMP,GDGADM,ET_RENAULT,SYN,L52,,,
Doc Plan,781418775R,--G,13,Validated,ELEMENT SUPPORT FEU G ASS,SUPT ASSY-LH LAMP,GDGADM,ET_RENAULT,SYN,L52,,,
Doc Plan,781418775R,--H,15,Validated,ELEMENT SUPPORT FEU G ASS,SUPT ASSY-LH LAMP,ADMTE_TOUSR,ET_RENAULT,VEH,L52,,,
Doc Plan,781418775R,--J,16,Validated,ELEMENT SUPPORT FEU G ASS,SUPT ASSY-LH LAMP,py01560,ET_RENAULT,VEH,L52,Finished,Approve|<br/>Approve|<br/>Approve|<br/>Approve,a177796|<br/>ay24668|<br/>bw59069|<br/>ay05465
Doc Plan,781418775R,--K,17,Frozen,ELEMENT SUPPORT FEU G ASS,SUPT ASSY-LH LAMP,py03413,ET_RENAULT,VEH,L52,,,
Doc Plan,781418775R,--K,19,Validated,ELEMENT SUPPORT FEU G ASS,SUPT ASSY-LH LAMP,py03413,ET_RENAULT,VEH,X52,Finished,Approve,ay05465
Doc Plan,781418775R,--L,20,Validated,ELEMENT SUPPORT FEU G ASS,SUPT ASSY-LH LAMP,py03413,ET_RENAULT,VEH,X52,Finished,Approve,ay05465
Doc Plan,781418775R,--M,21,Validated,ELEMENT SUPPORT FEU G ASS,SUPT ASSY-LH LAMP,py04183,ET_RENAULT,VEH,X52,Finished,Approve|<br/>Approve|<br/>Approve|<br/>Approve,ay24668|<br/>ay23642|<br/>bw59069|<br/>a177796
Doc Plan,781418775R,--N,22,Validated,ELEMENT SUPPORT FEU G ASS,SUPT ASSY-LH LAMP,py02391,ET_RENAULT,VEH,X52,Finished,Approve|<br/>Approve|<br/>Approve|<br/>Approve,ay23642|<br/>bw59069|<br/>ay24668|<br/>a177796
Doc Plan,781418775R,--P,23,Validated,ELEMENT SUPPORT FEU G ASS,SUPT ASSY-LH LAMP,py04543,ET_RENAULT,VEH,X52,Finished,Approve|<br/>Approve|<br/>Approve|<br/>Approve,ay24668|<br/>bw59069|<br/>ay23642|<br/>a178362
Doc Plan,781418775R,--Q,24,Validated,ELEMENT SUPPORT FEU G ASS,SUPT ASSY-LH LAMP,py04543,ET_RENAULT,VEH,X52,Finished,Approve|<br/>Approve|<br/>Approve|<br/>Approve,ay23642|<br/>ay24668|<br/>bw59069|<br/>a177796
Doc Plan,781418775R,--R,25,Validated,ELEMENT SUPPORT FEU D ASS,SUPT ASSY-RH LAMP,z023424,ET_RENAULT,VEH,X52,Finished,Approve|<br/>Approve,ay32815|<br/>ay05465
Doc Plan,781411708R,--A,1,Validated,DOUBLURE SUPPORT FEU AR G,TRIM-RR LH LAMP SUPT,GDGADM,ET_RENAULT,SYN,,,,
Doc Plan,781411708R,--J,8,Validated,DOUBLURE SUPPORT FEU AR G,TRIM-RR LH LAMP SUPT,GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,781411708R,--K,9,Validated,DOUBLURE SUPPORT FEU AR G,TRIM-RR LH LAMP SUPT,GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,781411708R,--L,10,Validated,DOUBLURE SUPPORT FEU AR G,TRIM-RR LH LAMP SUPT,GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,781411708R,--M,11,Validated,DOUBLURE SUPPORT FEU AR G,TRIM-RR LH LAMP SUPT,GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,781411708R,--N,12,Validated,DOUBLURE SUPPORT FEU AR G,TRIM-RR LH LAMP SUPT,py02391,ET_RENAULT,VEH,B52,,,
Doc Plan,781411708R,--P,13,Validated,DOUBLURE SUPPORT FEU AR G,TRIM-RR LH LAMP SUPT,py02391,ET_RENAULT,VEH,X52,Finished,Approve|<br/>Approve|<br/>Approve|<br/>Approve,ay11455|<br/>ay24668|<br/>ay23642|<br/>bw59069
Doc Plan,781415066R,---,3,Validated,ELEMENT SUPPORT FEU AR G ASS,"SUPT ASSY-RR LAMP,LH",GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,781415066R,--A,5,Validated,ELEMENT SUPPORT FEU AR G ASS,"SUPT ASSY-RR LAMP,LH",GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,781415066R,--B,6,Validated,ELEMENT SUPPORT FEU AR G ASS,"SUPT ASSY-RR LAMP,LH",GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,781415066R,--C,8,Validated,ELEMENT SUPPORT FEU AR G ASS,"SUPT ASSY-RR LAMP,LH",GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,781415066R,--D,9,Validated,ELEMENT SUPPORT FEU AR G ASS,"SUPT ASSY-RR LAMP,LH",GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,781415066R,--E,10,Validated,ELEMENT SUPPORT FEU AR G ASS,"SUPT ASSY-RR LAMP,LH",py01322,ET_RENAULT,VEH,B52,Finished,Approve|<br/>Approve|<br/>Approve,ay24668|<br/>bw59069|<br/>ay05465
Doc Plan,781415066R,--F,11,Validated,ELEMENT SUPPORT FEU AR G ASS,"SUPT ASSY-RR LAMP,LH",py01322,ET_RENAULT,VEH,B52,Finished,Approve,ay23642
Doc Plan,781415066R,--G,12,Validated,ELEMENT SUPPORT FEU AR G ASS,"SUPT ASSY-RR LAMP,LH",py02391,ET_RENAULT,VEH,X52,Finished,Approve|<br/>Approve|<br/>Approve,ay23642|<br/>bw59069|<br/>ay24668
Doc Plan,781415066R,--H,13,Refused,ELEMENT SUPPORT FEU AR G ASS,"SUPT ASSY-RR LAMP,LH",py04543,ET_RENAULT,VEH,X52,Stopped,Approve|<br/>|<br/>Reject,ay28082|<br/>bw59069|<br/>ay23642
Doc Plan,781415066R,--H,14,Validated,ELEMENT SUPPORT FEU AR G ASS,"SUPT ASSY-RR LAMP,LH",py04543,ET_RENAULT,VEH,X52,Finished,Approve|<br/>Approve|<br/>Approve,ay28082|<br/>ay23642|<br/>bw59069
Doc Plan,78Z411911R,---,1,Validated,DOUBLURE SUPPORT FEU AR G/D,NO VALUE,GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,781411057R,---,2,Validated,ELEMENT SUPPORT FEU AR G ASS,"SUPT ASSY-RR LAMP, LH",GDGADM,ET_RENAULT,SYN,K52,,,
Doc Plan,781411057R,--A,3,Validated,ELEMENT SUPPORT FEU AR G ASS,"SUPT ASSY-RR LAMP, LH",GDGADM,ET_RENAULT,SYN,K52,,,
Doc Plan,625130940R,---,1,Validated,SUPPORT G TRAVERSE SUP FACE AV ASS,"SUPT ASSY-FR FACE UPR CROSS MBR, LH",GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,625130940R,--A,2,Validated,SUPPORT G TRAVERSE SUP FACE AV ASS,"SUPT ASSY-FR FACE UPR CROSS MBR, LH",GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,625130940R,--B,7,Validated,SUPPORT G TRAVERSE SUP FACE AV ASS,"SUPT ASSY-FR FACE UPR CROSS MBR, LH",GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,625130940R,--F,13,Validated,SUPPORT G TRAVERSE SUP FACE AV ASS,"SUPT ASSY-FR FACE UPR CROSS MBR, LH",GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,625130940R,--E,11,Validated,SUPPORT G TRAVERSE SUP FACE AV ASS,"SUPT ASSY-FR FACE UPR CROSS MBR, LH",GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,625130940R,--C,8,Validated,SUPPORT G TRAVERSE SUP FACE AV ASS,"SUPT ASSY-FR FACE UPR CROSS MBR, LH",GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,625130940R,--D,9,Validated,SUPPORT G TRAVERSE SUP FACE AV ASS,"SUPT ASSY-FR FACE UPR CROSS MBR, LH",GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,625130940R,--G,14,Refused,SUPPORT G TRAVERSE SUP FACE AV ASS,"SUPT ASSY-FR FACE UPR CROSS MBR, LH",py04543,ET_RENAULT,VEH,B52,Stopped,Reject|<br/>Approve|<br/>|<br/>,ay28082|<br/>ay23642|<br/>bw59069|<br/>a192101
Doc Plan,625130940R,--G,15,Validated,SUPPORT G TRAVERSE SUP FACE AV ASS,"SUPT ASSY-FR FACE UPR CROSS MBR, LH",py04543,ET_RENAULT,VEH,B52,Finished,Approve|<br/>Approve|<br/>Approve|<br/>Approve,ay28082|<br/>bw59069|<br/>ay23642|<br/>a192101
Doc Plan,625130940R,--H,16,Validated,SUPPORT G TRAVERSE SUP FACE AV ASS,"SUPT ASSY-FR FACE UPR CROSS MBR, LH",py06208,ET_RENAULT,VEH,B52,Finished,Approve|<br/>Approve|<br/>Approve|<br/>Approve|<br/>Approve,ay05465|<br/>ay07068|<br/>ay32815|<br/>z004864|<br/>a192101
Doc Plan,625119420R,---,2,Validated,SUPPORT CTL TRAVERSE SUP FACE AV ASS,"BRKT ASSY-FR END UPR CROSS MBR, CTR",GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,625119420R,--A,3,Validated,SUPPORT CTL TRAVERSE SUP FACE AV ASS,"BRKT ASSY-FR END UPR CROSS MBR, CTR",GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,625119420R,--B,8,Validated,SUPPORT CTL TRAVERSE SUP FACE AV ASS,"BRKT ASSY-FR END UPR CROSS MBR, CTR",GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,625149208R,---,1,Validated,RENFORT TRAVERSE FIX SERRURE ASS,REINF ASSY-LOCK MTG CROSS MBR,GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,625149208R,--A,2,Validated,RENFORT TRAVERSE FIX SERRURE ASS,REINF ASSY-LOCK MTG CROSS MBR,GDGADM,ET_RENAULT,SYN,B52,,,
Doc Plan,625149208R,--B,7,Validated,RENFORT TRAVERSE FIX SERRURE ASS,REINF ASSY-LOCK MTG CROSS MBR,ADMTE_TOUSR,ET_RENAULT,VEH,B52,,,
Doc Plan,625149208R,--C,8,Validated,RENFORT TRAVERSE FIX SERRURE ASS,REINF ASSY-LOCK MTG CROSS MBR,GDGADM,ET_RENAULT,SYN,B52,,,
