TIPO;DIRECTION;ELTDEC_numero;ELTDEC_designation;FAM_code;FCT_numero;FCT_designation;ESO_num_PG;ESO_designation_PG;PIE_numero;PIE_designation;PIE_gest_MDS;PIEIND_indice;PIEIND_typologie;VARCAS_MTC;3D;MDS;Plan;3D_ok;2D_ok;MDS_ok;perimetro
POI;DE-VB;11;SUPERSTRUCTURE;XJD;ASS002734;TRAVERSE AR DE PAVILLON ASS;ASS002734;TRAVERSE AR DE PAVILLON ASS;732337203R;TRAVERSE AR PAVILLON ASS;Non;---;Plan de définition obligatoire;HJD.;-;-;2D5993079R;NO APLICA;OK;NO APLICA;11 - SUPERSTRUCTURE
POI;DE-VB;11;SUPERSTRUCTURE;XJD;F10471;PAVILLON;F10471/AC;PAVILLON;731126899R;PAVILLON;Oui;---;Plan et Num 3D obligatoires;HJD/BARLO1,BARLO2.;3DRE388877;827287791 / 1.00;2D5915048R;OK;OK;OK;11 - SUPERSTRUCTURE
COCA;DE-VB;11;SUPERSTRUCTURE;XJD;F10416;JUPE AR;F10416/AR;DOUBLURE DE JUPE PARTIE SUP;791100230R;DOUBLURE JUPE PARTIE SUP;Oui;---;Plan et Num 3D obligatoires;HJD.;3DRO203418;728091948 / 1.00;2D6377684R;OK;OK;OK;11 - SUPERSTRUCTURE
COCA;DE-VB;11;SUPERSTRUCTURE;XJD;F10416;JUPE AR;F10416/CM;RENFORT JUPE AR;791407225R;RENFORT JUPE AR;Oui;--A;Plan et Num 3D obligatoires;HJD.;3DRP056243;713008482 / 1.00;2DJ357978R;OK;OK;OK;11 - SUPERSTRUCTURE
COCA;DE-VB;11;SUPERSTRUCTURE;XJD;F10416;JUPE AR;F10416/AD;JUPE AR;852480062R;JUPE AR;Oui;--A;Plan et Num 3D obligatoires;HJD.;3DRP087980;713012496 / 1.00;791007720R;OK;OK;OK;11 - SUPERSTRUCTURE
POI;DE-VB;11;SUPERSTRUCTURE;XJD;ASS005914;RENFORT FIX PANIER ROUE SECOURS SUR CS ASS;ASS005914;RENFORT FIX PANIER ROUE SECOURS SUR CS ASS;745C68489R;RENFORT FIX PANIER ROUE SECOURS ASS;Non;---;Plan et Num 3D obligatoires;HJD/ENPC01.;-;-;8200655789;NOT OK;OK;NO APLICA;11 - SUPERSTRUCTURE
COCA;DE-VB;11;SUPERSTRUCTURE;XJD;F10687;TRAVERSE SUP DE FACE AV;F10687/AK;TRAVERSE SUP FACE AV PARTIE LAT G;625191617R;ELEMENT LAT TRV FACE AV SUP G;Oui;---;Plan et Num 3D obligatoires;HJD.;3DRO999749;728639925 / 1.00;2D6091886R;OK;OK;OK;11 - SUPERSTRUCTURE
COCA;DE-VB;11;SUPERSTRUCTURE;XJD;F10687;TRAVERSE SUP DE FACE AV;F10687/AL;TRAVERSE SUP FACE AV PARTIE LAT D;625189279R;ELEMENT LAT TRV FACE AV SUP D;Oui;---;Plan et Num 3D obligatoires;HJD.;3DRO999367;728639718 / 1.00;2D6091886R;OK;OK;OK;11 - SUPERSTRUCTURE
COCA;DE-VB;11;SUPERSTRUCTURE;XJD;ASS001281;STRUCTURE D' ADAPTATION DE FACE AV ASS;ASS001281;STRUCTURE D' ADAPTATION DE FACE AV ASS;625044151R;STRUCTURE FACE AV ASS;Non;--A;Pas d'élément de définition obligatoire;HJD.;-;-;2DB486448R;NO APLICA;NO APLICA;NO APLICA;11 - SUPERSTRUCTURE
COCA;DE-VB;12;SOUBASSEMENT;XJD;F10766;TRAVERSE EXTREME D' UNIT AV;F10766/AI;TRAVERSE EXTREME D' UNIT AV;752105904R;TRAVERSE EXTREME AV;Oui;--C;Plan et Num 3D obligatoires;HJD/ENPB01,ENPC01,ENPD01/SAUF E06T,E06U.;3DRM158144;728096057 / 1.00;2DL434152R;OK;OK;OK;12 - SOUBASSEMENT
COCA;DE-VB;12;SOUBASSEMENT;XJD;F10758;STRUCTURE D' ADAPTATION SUSPENSION GMP COTE MOTEUR;F10758/AS;RENFORT AR G DE SUSPENSION GMP SUR CAISSE;751B93087R;RENFORT AR G SUR CAISSE SSP GMP;Oui;--B;Plan et Num 3D obligatoires;HJD/CVTX/ENPC01/H5H.;3DRL255506;686880161 / 2.00;2DL382469R;OK;OK;OK;12 - SOUBASSEMENT
POI;DE-VB;12;SOUBASSEMENT;XJD;ASS001286;LONGERON AV D ASS;ASS001286;LONGERON AV D ASS;751002064R;LONGERON AV D ASS;Non;--B;Pas d'élément de définition obligatoire;HJD.;-;-;2D5262566R;NO APLICA;NO APLICA;NO APLICA;12 - SOUBASSEMENT
POI;DE-VB;12;SOUBASSEMENT;XJD;ASS002414;LONGERON AV PARTIE AV G ASS;ASS002414;LONGERON AV PARTIE AV G ASS;751114826R;LONGERON AV G PARTIE AV ASS;Non;---;Plan de définition obligatoire;HJD/TR4X2/ENPB01.;-;-;-;NO APLICA;NOT OK;NO APLICA;12 - SOUBASSEMENT
POI;DE-VB;12;SOUBASSEMENT;XJD;ASS002572;EL FERMETURE BAVOLET PARTIE AV D ASS;ASS002572;EL FERMETURE BAVOLET PARTIE AV D ASS;764405638R;ELEMENT FRMT BAVOLET AV D ASS;Non;---;Plan de définition obligatoire;HJD.;-;-;-;NO APLICA;NOT OK;NO APLICA;12 - SOUBASSEMENT
POI;DE-VB;12;SOUBASSEMENT;XJD;F10768;TRAVERSE LAT UNIT AV;F10768/AA;TRAVERSE LAT D UNIT AV;752624267R;TRAVERSE LAT AV D;Oui;---;Plan et Num 3D obligatoires;HJD/TR4X2/ENPB01.;3DRR933734;856507613 / 1.00;8200456770;OK;OK;OK;12 - SOUBASSEMENT
POI;DE-VB;12;SOUBASSEMENT;XJD;F10768;TRAVERSE LAT UNIT AV;F10768/AB;TRAVERSE LAT G UNIT AV;752638851R;TRAVERSE LAT AV G;Oui;---;Plan et Num 3D obligatoires;HJD/TR4X2/ENPB01.;3DRN676415;856506665 / 1.00;8200210715;OK;OK;OK;12 - SOUBASSEMENT
DL;DE-VB;12;SOUBASSEMENT;XJD;ASS004236;SUPPORT SUR CAISSE BAC A BATTERIE ASS;ASS004236;SUPPORT SUR CAISSE BAC A BATTERIE ASS;648604839R;SUPPORT SUR CAISSE BAC BATTERIE ASS;Non;---;Plan et Num 3D obligatoires;HJD/CVTX/ENPC01,ENPD01/H5H.;-;-;-;NOT OK;NOT OK;NO APLICA;12 - SOUBASSEMENT
POI;DE-VB;12;SOUBASSEMENT;XJD;ASS004326;SUPPORT D SUSPENSION GMP SUR CAISSE ASS;ASS004326;SUPPORT D SUSPENSION GMP SUR CAISSE ASS;751D14163R;SUPPORT SUR CAISSE SUSPENSION GMP D ASS;Non;---;Pas d'élément de définition obligatoire;HJD.;-;-;-;NO APLICA;NO APLICA;NO APLICA;12 - SOUBASSEMENT
POI;DE-VB;12;SOUBASSEMENT;XJD;ASS004939;ELEMENT FERMETURE AV LONGERON AV G P-ASS;ASS004939;ELEMENT FERMETURE AV LONGERON AV G P-ASS;751330021R;ELEMENT FRMT AV LONGERON AV G ASS;Non;---;Pas d'élément de définition obligatoire;HJD.;-;-;-;NO APLICA;NO APLICA;NO APLICA;12 - SOUBASSEMENT
COCA;DE-VB;12;SOUBASSEMENT;XJD;F18704;LONGERON AV D;F18704/AB;ELEMENT DE FERMETURE AV DE LONGERON AV D;751348867R;ELEMENT FRMT AV LONGERON AV D;Oui;--B;Plan et Num 3D obligatoires;HJD/ENPC01/H4M.;3DRO203904;728089775 / 1.00;2DL708315R;OK;OK;OK;12 - SOUBASSEMENT
COCA;DE-VB;12;SOUBASSEMENT;XJD;F18742;LONGERON AV G;F18742/AB;ELEMENT DE FERMETURE AV DE LONGERON AV G;751351590R;ELEMENT FRMT AV LONGERON AV G;Oui;---;Plan et Num 3D obligatoires;HJD/TR4X2/ENPB01.;3DRC789627;728088778 / 1.00;2DL435437R;OK;OK;OK;12 - SOUBASSEMENT
COCA;DE-VB;12;SOUBASSEMENT;XJD;F10719;STRUCTURE D' ADAPTATION AMORTISSEUR AV;F10719/AC;REHAUSSE DE COUPELLE D' AMORTISSEUR AV D;641005753R;REHAUSSE COUPELLE AMORTISSEUR AV D;Oui;---;Plan et Num 3D obligatoires;HJD.;3DRO206261;728087022 / 1.00;2DM139745R;OK;OK;OK;12 - SOUBASSEMENT
COCA;DE-VB;12;SOUBASSEMENT;XJD;F10719;STRUCTURE D' ADAPTATION AMORTISSEUR AV;F10719/AD;REHAUSSE DE COUPELLE D' AMORTISSEUR AV G;641017615R;REHAUSSE COUPELLE AMORTISSEUR AV G;Oui;---;Plan et Num 3D obligatoires;HJD.;3DRO205885;728084451 / 1.00;2DM139979R;OK;OK;OK;12 - SOUBASSEMENT
POI;DE-VB;12;SOUBASSEMENT;XJD;ASS001288;PASSAGE DE ROUE AV D ASS;ASS001288;PASSAGE DE ROUE AV D ASS;641208943R;PASSAGE ROUE AV D ASS;Non;--C;Pas d'élément de définition obligatoire;HJD.;-;854941005 / 1.00;-;NO APLICA;NO APLICA;NO APLICA;12 - SOUBASSEMENT
COCA;DE-VB;12;SOUBASSEMENT;XJD;F10721;DOUBLURE DE PIED AVANT;F10721/AD;PARTIE AR DE DOUBLURE DE PIED AV G;762A39333R;PARTIE AR DOUBLURE PIED AV G;Oui;--A;Plan et Num 3D obligatoires;HJD/ENPB01,ENPC01.;-;752872268 / 1.00;-;NOT OK;NOT OK;OK;12 - SOUBASSEMENT
COCA;DE-VB;12;SOUBASSEMENT;XJD;F10721;DOUBLURE DE PIED AVANT;F10721/AE;PARTIE AV DE DOUBLURE DE PIED AV D;762422122R;PARTIE AV DOUBLURE PIED AV D;Oui;---;Plan et Num 3D obligatoires;HJD/ENPB01,ENPC01.;3DC2914505;713012561 / 1.00;2DL434642R;OK;OK;OK;12 - SOUBASSEMENT
COCA;DE-VB;12;SOUBASSEMENT;XJD;F10721;DOUBLURE DE PIED AVANT;F10721/AC;PARTIE AR DE DOUBLURE DE PIED AV D;762A20650R;PARTIE AR DOUBLURE PIED AV D;Oui;--B;Plan et Num 3D obligatoires;HJD/ENPB01,ENPC01.;-;-;-;NOT OK;NOT OK;NOT OK;12 - SOUBASSEMENT
POI;DE-VB;12;SOUBASSEMENT;XJD;ASS008248;DOUBLURE PIED AV G PARTIE AV ASS;ASS008248;PARTIE AV DE DOUBLURE DE PIED AV G ASS;762432908R;PARTIE AV DOUBLURE PIED AV G ASS;Non;--A;Plan de définition obligatoire;HJD.;-;-;-;NO APLICA;NOT OK;NO APLICA;12 - SOUBASSEMENT
POI;DE-VB;12;SOUBASSEMENT;XJD;F18760;STRUCTURE DE PIED AV G;F18760/AA;RENFORT DE PIED AV G;762498281R;RENFORT PIED AV G;Oui;---;Plan et Num 3D obligatoires;HJD.;3DR4293280;827319538 / 1.00;2DL742789R;OK;OK;OK;12 - SOUBASSEMENT
POI;DE-VB;12;SOUBASSEMENT;XJD;F18724;STRUCTURE DE PIED AV D;F18724/AA;RENFORT DE PIED AV D;762182079R;RENFORT PIED AV D;Oui;---;Plan et Num 3D obligatoires;HJD.;3DRL800430;827330412 / 1.00;2DL742789R;OK;OK;OK;12 - SOUBASSEMENT
POI;DE-VB;12;SOUBASSEMENT;XJD;F10718;CLOISON DE CHAUFFAGE;F10718/AA;CLOISON DE CHAUFFAGE;663001447R;CLOISON CHAUFFAGE;Oui;---;Plan et Num 3D obligatoires;HJD/DG.;3DC2912534;827344328 / 1.00;2DL434751R;OK;OK;OK;12 - SOUBASSEMENT
COCA;DE-VB;12;SOUBASSEMENT;XJD;ASS004543;RFR CENTRAL CLOISON CHAUFFAGE ASS;ASS004543;RFR CENTRAL CLOISON CHAUFFAGE ASS;671A06064R;RENFORT CTL CLOISON CHAUFFAGE ASS;Oui;--B;Pas d'élément de définition obligatoire;HJD.;-;-;2DF883772R;NO APLICA;NO APLICA;NOT OK;12 - SOUBASSEMENT
COCA;DE-VB;12;SOUBASSEMENT;XJD;F10760;TABLIER;F10760/AJ;RENFORT G DE TABLIER;673395980R;RENFORT TABLIER G;Oui;--B;Plan et Num 3D obligatoires;HJD/TR4X2/ENPB01,ENPC01,ENPD01.;3DRP013705;-;2DL435292R;OK;OK;NOT OK;12 - SOUBASSEMENT
COCA;DE-VB;12;SOUBASSEMENT;XJD;F10760;TABLIER;F10760/AI;RENFORT D DE TABLIER;663606500R;RENFORT TABLIER D;Oui;--B;Plan et Num 3D obligatoires;HJD/TR4X2/ENPB01,ENPC01,ENPD01.;3DRP262258;-;2DL435421R;OK;OK;NOT OK;12 - SOUBASSEMENT
POI;DE-VB;12;SOUBASSEMENT;XJD;F10760;TABLIER;F10760/AC;TABLIER;670009634R;TABLIER;Oui;---;Plan et Num 3D obligatoires;HJD/TR4X2/ENPB01,ENPC01,ENPD01.;3DRO212327;827322189 / 1.00;2DL435795R;OK;OK;OK;12 - SOUBASSEMENT
COCA;DE-VB;12;SOUBASSEMENT;XJD;ASS006576;RENFORT FIX PEDALIER P-ASS;ASS006576;RENFORT FIX PEDALIER P-ASS;671546435R;RENFORT FIX PEDALIER P-ASS;Non;---;Plan de définition obligatoire;HJD/DG.;-;826356180 / 1.00;2DF856052R;NO APLICA;OK;NO APLICA;12 - SOUBASSEMENT
POI;DE-VB;12;SOUBASSEMENT;XJD;ASS009104;TRAVERSE INF DE BAIE P-ASS;ASS009104;TRAVERSE INF DE BAIE P-ASS;674102666R;TRAVERSE INF BAIE P-ASS;Non;--D;Plan de définition obligatoire;HJD/DG.;-;-;-;NO APLICA;NOT OK;NO APLICA;12 - SOUBASSEMENT
COCA;DE-VB;12;SOUBASSEMENT;XJD;F15266;LONGERON CENTRAL;F15266/AJ;LONGERON CTL D SOUS PLANCHER;751747057R;LONGERON CTL SOUS PLANCHER;Oui;--A;Plan et Num 3D obligatoires;HJD/ENPC01/H4M.;3DRV503294;-;2D6036621R;OK;OK;NOT OK;12 - SOUBASSEMENT
POI;DE-VB;12;SOUBASSEMENT;XJD;F15266;LONGERON CENTRAL;F15266/AK;RENFORT LONGERON CENTRAL G;751829358R;RENFORT LONGERON CTL;Oui;---;Plan et Num 3D obligatoires;HJD/ENPC01/H4M.;M000905416;487544415 / 1.00;8200225347;OK;OK;OK;12 - SOUBASSEMENT
POI;DE-VB;12;SOUBASSEMENT;XJD;ASS003522;RENFORT MTN MECANISME FREIN STATIONNEMENT ASS;ASS003522;RENFORT MTN MECANISME FREIN STATIONNEMENT ASS;743546454R;RENFORT FREIN STATIONNEMENT ASS;Non;---;Plan de définition obligatoire;HJD/TR4X2.;-;-;-;NO APLICA;NOT OK;NO APLICA;12 - SOUBASSEMENT
POI;DE-VB;12;SOUBASSEMENT;XJD;ASS014452;RENFORT MECANISME FREIN STATIONNEMENT P-ASS;A7430113-;RENFORT MECANISME FREIN STATIONNEMENT P-ASS;743545115R;RENFORT MECANISME FREIN STT P-ASS;Non;---;Plan de définition obligatoire;HJD/ENPC01.;-;-;2D7660437R;NO APLICA;OK;NO APLICA;12 - SOUBASSEMENT
POI;DE-VB;12;SOUBASSEMENT;XJD;F10770;TUNNEL;F10770/AL;RENFORT DE TUNNEL;743702437R;RENFORT TUNNEL;Oui;---;Plan et Num 3D obligatoires;HJD/ENPC01/H4M.;3DRM123341;827343618 / 1.00;2DL443021R;OK;OK;OK;12 - SOUBASSEMENT
POI;DE-VB;12;SOUBASSEMENT;XJD;ASS002381;ELEMENT FRMT BAVOLET G ASS;ASS002381;ELEMENT FRMT BAVOLET G ASS;764516629R;ELEMENT FRMT BAVOLET G ASS;Non;---;Pas d'élément de définition obligatoire;HJD/DG.;-;-;-;NO APLICA;NO APLICA;NO APLICA;12 - SOUBASSEMENT
POI;DE-VB;12;SOUBASSEMENT;XJD;ASS002382;ELEMENT FRMT BAVOLET D ASS;ASS002382;ELEMENT FRMT BAVOLET D ASS;764500269R;ELEMENT FRMT BAVOLET D ASS;Non;---;Pas d'élément de définition obligatoire;HJD/DG.;-;-;-;NO APLICA;NO APLICA;NO APLICA;12 - SOUBASSEMENT
PLDA;DE-VB;12;SOUBASSEMENT;XJD;F16680;STRUCTURE ADAPTATION CEINTURE SECURITE 1ERE RNG SUR CAISSE;R8680010-;SUPPORT CEINTURE DE SECURITE D 1ERE RNG;868687570R;PONTET FIX CEINTURE;Non;---;Pas d'élément de définition obligatoire;HJD/ENPD01.;-;792931442 / 1.00;-;NO APLICA;NO APLICA;NO APLICA;12 - SOUBASSEMENT
PLDA;DE-VB;12;SOUBASSEMENT;XJD;F16680;STRUCTURE ADAPTATION CEINTURE SECURITE 1ERE RNG SUR CAISSE;R8680011-;SUPPORT CEINTURE DE SECURITE G 1ERE RNG;868684474R;PONTET FIX CEINTURE;Non;---;Pas d'élément de définition obligatoire;HJD/ENPD01.;-;792930224 / 1.00;-;NO APLICA;NO APLICA;NO APLICA;12 - SOUBASSEMENT
COCA;DE-VB;12;SOUBASSEMENT;XJD;ASS003175;ELEMENT DE FERMETURE BAVOLET AR D ASS;ASS003175;ELEMENT DE FERMETURE BAVOLET AR D ASS;764427806R;ELEMENT FRMT BAVOLET AR D ASS;Non;---;Pas d'élément de définition obligatoire;HJD.;-;-;-;NO APLICA;NO APLICA;NO APLICA;12 - SOUBASSEMENT
POI;DE-VB;12;SOUBASSEMENT;XJD;ASS009078;ELEMENT FERMETURE BAVOLET AV G ASS;ASS009078;ELEMENT FERMETURE BAVOLET AV G ASS;764419526R;ELEMENT FRMT BAVOLET AV G ASS;Non;---;Plan de définition obligatoire;HJD.;-;-;-;NO APLICA;NOT OK;NO APLICA;12 - SOUBASSEMENT
COCA;DE-VB;12;SOUBASSEMENT;XJD;F11087;ELEMENT DE FERMETURE DE SOUBASSEMENT ARRIERE;F11087/AA;ELEMENT FRMT LAT D DE SOUBASSEMENT AR;745325740R;FERMETURE LAT D SOUBASSEMENT AR;Oui;---;Plan et Num 3D obligatoires;HJD/ENPB01,ENPC01,ENPD01.;3DRO845336;728634539 / 1.00;745320001R;OK;OK;OK;12 - SOUBASSEMENT
