DOCTECH_numero,Designation,Maturity,n,total,riesgo,ELTDEC_numero,ELTDEC_designation,FAM_code,FCT_numero,FCT_nature,FCT_designation,FCT_BE_resp,VAR_numero,VAR_type,VAR_argument_produit_1,VAR_argument_produit_2,VAR_prix_previ,VAR_masse_previ,SOL_numero,SOL_site_production,SOL_sce,SOL_appariement,ESO_numero,ESO_etat,ESO_num_appro,ESO_date_histo,ESO_num_PG,ESO_commonalite,ESO_commentaire,ESO_designation_PG,ESO_code_SH,ESO_fourn_pilote,ESO_type_concur,ESO_mas_prob,ESO_mas_recy,ESO_risque,ESO_ecart_mas1,ESO_ecart_mas2,ESO_potentiel,ESO_coef,ESO_design_dos_fct,ESO_BE_resp,ESO_indice_dos_fct,AFU_int_site,AFU_int_sce,AFU_int_validite,AFU_ext_site,AFU_ext_sce,AFU_ext_validite,ECO_statut,ECO_sol_ext,ECO_parallel_set_cod,ECO_commentaire,PIE_numero,PIE_designation,PIE_type,PIE_BE_resp,PIE_sce_gest,PIE_sce_colead,PIE_ldr_conception,PIE_Nis_pie_numero,PIE_unite,AFF_POI_site,AFF_POI_sce,AFF_POI_validite,AFF_POE_site,AFF_POE_sce,AFF_POE_validite,AFF_uti_SIGNE,AFF_uti_G2B,PIE_cod_RSE,PIE_vital_part,PIE_code_nature,PIE_code_techno,PIE_sct_ach,PIE_fournisseur,PIE_cod_fab,PIE_source,PIE_gest_MDS,PIE_prix_std,PIE_prix_hors_amort,PIE_inducteur1,PIE_inducteur2,PIE_creation_comment,PIE_gest_PPU,PIE_maj_PPU,PIEIND_indice,PIEIND_statut,PIEIND_Dernier_indice,PIEIND_Dernier_statut,PIEIND_marquage_pays,PIEIND_masse,PIEIND_type_masse,PIEIND_nuance_protection,PIEIND_epaisseur,PIEIND_typologie,DOCTECH_BE_resp,DOCTECH_type,DOCTECH_indice,DOCTECH_indice_mineur,DOCTECH_flag_nis
100030865,RENFORT AR TETE ESSIEU G,Refused,5,7,0.7142857142857143,86,ESSIEU AR,X79,F15652,Fonction,SUPPORT D' ELEMENT TOURNANT DU TRAIN AR,Renault,3,Projet,4X2,,NA,NA,8,MEP,0M000,NA,5,Valide, 	 ,08/03/2018,F15652/AE,NA,,RENFORT LAT DE TETE ESSIEU AR D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,MEP,0M000,Officielle,,,,BE,,NA,, 	 555178428R,RENFORT AR TETE ESSIEU D,PIE,Renault,0M000,XCP,Renault, 	 ," PCE Pièce, Unité",MEP,0M000,Officielle,,,," EXT,MEP,TOA",,---,NA,D,,,AUTOMOBILE DACIA S.A. ACHATS,9F,,Oui,NA,NA,Inducteurs Spécifiques,Raison Eco / LUP ECO,,,,---,BE,---,BE,NA,0.44,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--K,10,
164462814R,CANALISATION ABSORBEUR VAPEUR CRBT,Validated,1,1,0,76,CIRCUIT CARBURANT,XHA,F14135,Fonction,TUYAUTERIE VAPEUR CARBURANT,Renault,1,Projet,HHA H4M,,NA,NA,1,,0M000,NA,2,Valide, 	 ,04/12/2014,F14135/AS,NA,,CANALISATION 1 ABSORBEUR VAPEUR ESSENCE,EXPERT,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,0M000,Officielle,,,,BE,,NA,, 	 164462814R,CANALISATION ABSORBEUR VAPEUR CRBT,PIE,Renault,0M000,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," ORU,CHN,UAS",,RS-,NA,-,,,NOBEL AUTOMOTIVE RUSYA,NF,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--B,BE,--B,BE,NA,0.043,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--B,4,
164466039R,CANALISATION ABSORBEUR VAPEUR CRBT,Validated,1,1,0,76,CIRCUIT CARBURANT,X79,F10442,Fonction,CIRCUIT DE MISE A AIR DU RESERVOIR A CARBURANT,Renault,7,Projet," H79 PH2 K4M, H5F, H4M & H79 PH1' / K4M",,NA,NA,1," ORU,MOP,CHN",0M000,NA,1,Valide, 	 ,20/01/2014,F10442/AA,NA,,CANALISATION  1 DE MISE A AIR DU RESERVOIR A CARBURANT,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," ORU,CHN,MOP",0M000,Officielle,,,,BE,,NA,, 	 164466039R,CANALISATION ABSORBEUR VAPEUR CRBT,PIE,Renault,0M000,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," ORU,CHN,MOP",,RS-,NA,-,XUR,,NOBEL AUTOMOTIVE ROMANIA SRL,C4,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Non définie,Initialisation par PDP,,,--A,BE,--A,BE,NA,0.088,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--A,2,
172014662R,RESERVOIR CARBURANT ASS,Validated,1,1,0,76,CIRCUIT CARBURANT,XHA,F10570,Fonction,RESERVOIR CARBURANT,Renault,22,Projet,HHA K9K PLASTIC TANK,,NA,NA,2,,0INDE,NA,1,Valide, 	 ,30/05/2019,F10570/AA,NA,,RESERVOIR CARBURANT EQP,8708.99,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 172015354R,RESERVOIR CARBURANT ASS,PIE,Renault,0INDE,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,RS-,NA,*,XUR,,,LV,,Non,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--C,BE,--C,BE,NA,10.514,Calcul automatique,,,Plan et Num 3D obligatoires,Renault,Plan,--C,8,
172020892R,RESERVOIR CARBURANT EQP,Validated,1,1,0,76,CIRCUIT CARBURANT,X52,F10570,Fonction,RESERVOIR CARBURANT,Renault,29,Projet," B52,K52 / DIESEL / GEN5 / EURO6",,NA,NA,2,,0M000,NA,1,Valide, 	 ,14/03/2014,F10570/AA,NA,,RESERVOIR CARBURANT EQP,8708.99,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,TAN,0M000,Officielle,,,,BE,,NA,, 	 172027034R,RESERVOIR CARBURANT EQP,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,TAN,,RS-,NA,-,,,INERGY AUTOMOTIVE SYST MOROC,LD,,Oui,NA,NA,Inducteurs Spécifiques,Pièce de responsabilité ingénierie partenaire,,,,---,BE,---,BE,NA,8.844,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--B,6,
172022377R,MODULE JAUGE POMPE,Validated,1,1,0,76,CIRCUIT CARBURANT,X52,F15403,Fonction,JAUGE ET POMPE A CARBURANT,Renault,2,Projet," X52/D4F,K7M,K4M,H4M/ EXPORT EU4 +H4M EU5,LBK52 D4FTLTURQ + EU 6",,NA,NA,1,,65500,NA,1,Valide, 	 ,17/06/2011,F15403/AA,NA,,ENSEMBLE JAUGE ET POMPE A CARBURANT,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,,,,EXT,65500,Officielle,BE,,NA,, 	 172022047R,MODULE JAUGE POMPE,PIE,Renault,65500,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,65500,Officielle,EXT,,RSE,NA,-,XUR,,TI AUTOMOTIVE FUEL SYSTEMS S,5L,,Oui,NA,NA,Non définie,Non définie,Initialisation par PDP,,,--A,BE,--A,BE,NA,0.89,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--D,1,Non partagé
172022514R,RESERVOIR CARBURANT EQP,Validated,1,1,0,76,CIRCUIT CARBURANT,XHA,ASS002575,Fonction,ENSEMBLE RESERVOIR A CARBURANT,Renault,1,Projet,HHA K9K PLASTIC TANK (BOSE EDITION ),,NA,NA,2,,0INDE,NA,1,Valide, 	 ,30/05/2019,ASS002575,NA,,ENSEMBLE RESERVOIR A CARBURANT,,NA,Fournisseur,NA,NA,NA,0,0,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 172022514R,RESERVOIR CARBURANT EQP,PIE,Renault,0INDE,XCP,Renault, 	 ," PCE Pièce, Unité",CHN,0INDE,Officielle,,,,CHN,,RS-,NA,*,XUR,,,L6,172027807R,Non,NA,NA,Design - Montée en Gamme - Teintes,Montée en gamme / Nouvelle teinte,,,,---,BE,---,BE,NA,11.309,Calcul automatique,,,Plan de définition obligatoire,Renault,Plan,--A,3,
172029062R,RESERVOIR CARBURANT EQP,Validated,1,1,0,76,CIRCUIT CARBURANT,X79,F10570,Fonction,RESERVOIR CARBURANT,Renault,20,Projet,H79 PH2 & PH1'/ TR4X2 / K4M SAUF GPL,,NA,NA,2," MOP,CHN",0M000,NA,1,Valide, 	 ,21/04/2016,F10570/AA,NA,,RESERVOIR CARBURANT EQP,8708.99,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," CHN,MOP",0M000,Officielle,,,,BE,,NA,, 	 172020544R,RESERVOIR CARBURANT EQP,PIE,Renault,0M000,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," CHN,MOP",,RS-,NA,Y,XUR,,PLASTIC OMNIUM AUTO INERGY R,VK,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Non définie,Initialisation par PDP,,,--C,BE,--C,BE,NA,8.907,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--G,9,
172217190R,PIPE REMPLISSAGE EQP,Validated,1,1,0,76,CIRCUIT CARBURANT,X79,F10481,Fonction,REMPLISSAGE RESERVOIR CARBURANT,Renault,22,Projet,H79 INDIA METALIC TANK,,NA,NA,2,,0INDE,NA,1,Valide, 	 ,22/05/2015,F10481/AT,NA,,PIPE REMPLISSAGE RESERVOIR CARBURANT,8708.99,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 172217190R,PIPE REMPLISSAGE EQP,PIE,Renault,0INDE,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,RS-,NA,-,XUR,,,5N,8200899275,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,--A,BE,--A,BE,NA,0.679,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--A,3,
172283564R,MANCHON PIPE REMPLISSAGE,Validated,1,1,0,76,CIRCUIT CARBURANT,X79,F10481,Fonction,REMPLISSAGE RESERVOIR CARBURANT,Renault,22,Projet,H79 INDIA METALIC TANK,,NA,NA,2,,0INDE,NA,4,Valide, 	 ,22/05/2015,F10481/AU,NA,,CANALISATION  INF PIPE REMPLISSAGE CRBT,EXPERT,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 172283564R,MANCHON PIPE REMPLISSAGE,PIE,Renault,0INDE,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,RS-,NA,-,XUR,,,,172285546R,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,--A,BE,--A,BE,NA,0.067,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--A,2,
172291692R,TUYAU ANTIREFOULEMENT,Validated,1,1,0,76,CIRCUIT CARBURANT,X79,F10481,Fonction,REMPLISSAGE RESERVOIR CARBURANT,Renault,22,Projet,H79 INDIA METALIC TANK,,NA,NA,2,,0INDE,NA,5,Valide, 	 ,22/05/2015,F10481/AV,NA,,CANALISATION ANTIREFOULEMENT RESERVOIR CRBT,EXPERT,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 172291692R,TUYAU ANTIREFOULEMENT,PIE,Renault,0INDE,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,RS-,NA,-,XUR,,,VH,8200587039,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,--A,BE,--A,BE,NA,0.017,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--A,2,
172946247R,PROTECTEUR RESERVOIR CARBURANT D,Validated,1,1,0,76,CIRCUIT CARBURANT,X79,F10570,Fonction,RESERVOIR CARBURANT,Renault,20,Projet,H79 PH2 & PH1'/ TR4X2 / K4M SAUF GPL,,NA,NA,2," MOP,CHN",0M000,NA,2,Valide, 	 ,21/04/2016,F10570/BT,NA,,SUPPORT LAT RESERVOIR CARBURANT,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," MOP,CHN",0M000,Officielle,,,,BE,,NA,, 	 172946247R,PROTECTEUR RESERVOIR CARBURANT D,PIE,Renault,0M000,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," CHN,ORU,MOP",,RS-,NA,-,XUR,,ECA ELEMENTE COMANDA AUTO SA,EJ,,Oui,NA,NA,Inducteurs Spécifiques,Pièce de responsabilité ingénierie partenaire,,,,--A,BE,--A,BE,NA,0.015,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--A,4,
172950217R,PROTECTEUR RESERVOIR CARBURANT G,Validated,1,1,0,76,CIRCUIT CARBURANT,X79,F10570,Fonction,RESERVOIR CARBURANT,Renault,20,Projet,H79 PH2 & PH1'/ TR4X2 / K4M SAUF GPL,,NA,NA,2," MOP,CHN",0M000,NA,3,Valide, 	 ,21/04/2016,F10570/BU,NA,,SUPPORT 2 AR RESERVOIR CARBURANT,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," CHN,MOP",0M000,Officielle,,,,BE,,NA,, 	 172950217R,PROTECTEUR RESERVOIR CARBURANT G,PIE,Renault,0M000,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," CHN,ORU,MOP",,RS-,NA,-,XUR,,ECA ELEMENTE COMANDA AUTO SA,2A,,Oui,NA,NA,Inducteurs Spécifiques,Pièce de responsabilité ingénierie partenaire,,,,--A,BE,--A,BE,NA,0.007,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--A,5,
175061443R,CANALISATION ALIMENTATION CARBURANT,Validated,1,1,0,76,CIRCUIT CARBURANT,XHA,F10173,Fonction,CIRCUIT ALIMENTATION CARBURANT SOUS CAISSE,Renault,2,Projet,HHA / F4R / RUSSIE,,NA,NA,2,,0M000,NA,2,Valide, 	 ,10/09/2015,F10173/AA,NA,,CANALISATION 1 ALIMENTATION CRBT SOUS CAISSE,EXPERT,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,0M000,Officielle,,,,BE,,NA,, 	 175061443R,CANALISATION ALIMENTATION CARBURANT,PIE,Renault,0M000,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,ORU,,RS-,NA,-,XUR,,NOBEL AUTOMOTIVE RUSYA,46,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--B,BE,--B,BE,NA,0.115,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--B,6,
