gutenberg_id,text,title,document
36,"",The War of the Worlds,44
36,"The planet Mars, I scarcely need remind the reader, revolves about the",The War of the Worlds,45
36,"sun at a mean distance of 140,000,000 miles, and the light and heat it",The War of the Worlds,46
36,receives from the sun is barely half of that received by this world.,The War of the Worlds,47
36,"It must be, if the nebular hypothesis has any truth, older than our",The War of the Worlds,48
36,"world; and long before this earth ceased to be molten, life upon its",The War of the Worlds,49
36,surface must have begun its course.  The fact that it is scarcely one,The War of the Worlds,50
36,seventh of the volume of the earth must have accelerated its cooling,The War of the Worlds,51
36,to the temperature at which life could begin.  It has air and water,The War of the Worlds,52
36,and all that is necessary for the support of animated existence.,The War of the Worlds,53
36,"",The War of the Worlds,54
36,"Yet so vain is man, and so blinded by his vanity, that no writer,",The War of the Worlds,55
36,"up to the very end of the nineteenth century, expressed any idea that",The War of the Worlds,56
36,"intelligent life might have developed there far, or indeed at all,",The War of the Worlds,57
36,beyond its earthly level.  Nor was it generally understood that since,The War of the Worlds,58
36,"Mars is older than our earth, with scarcely a quarter of the",The War of the Worlds,59
36,"superficial area and remoter from the sun, it necessarily follows that",The War of the Worlds,60
36,it is not only more distant from time's beginning but nearer its end.,The War of the Worlds,61
36,"",The War of the Worlds,62
36,The secular cooling that must someday overtake our planet has,The War of the Worlds,63
36,already gone far indeed with our neighbour.  Its physical condition is,The War of the Worlds,64
36,"still largely a mystery, but we know now that even in its equatorial",The War of the Worlds,65
36,region the midday temperature barely approaches that of our coldest,The War of the Worlds,66
36,"winter.  Its air is much more attenuated than ours, its oceans have",The War of the Worlds,67
36,"shrunk until they cover but a third of its surface, and as its slow",The War of the Worlds,68
36,seasons change huge snowcaps gather and melt about either pole and,The War of the Worlds,69
36,periodically inundate its temperate zones.  That last stage of,The War of the Worlds,70
36,"exhaustion, which to us is still incredibly remote, has become a",The War of the Worlds,71
36,present-day problem for the inhabitants of Mars.  The immediate,The War of the Worlds,72
36,"pressure of necessity has brightened their intellects, enlarged their",The War of the Worlds,73
36,"powers, and hardened their hearts.  And looking across space with",The War of the Worlds,74
36,"instruments, and intelligences such as we have scarcely dreamed of,",The War of the Worlds,75
36,"they see, at its nearest distance only 35,000,000 of miles sunward of",The War of the Worlds,76
36,"them, a morning star of hope, our own warmer planet, green with",The War of the Worlds,77
36,"vegetation and grey with water, with a cloudy atmosphere eloquent of",The War of the Worlds,78
36,"fertility, with glimpses through its drifting cloud wisps of broad",The War of the Worlds,79
36,"stretches of populous country and narrow, navy-crowded seas.",The War of the Worlds,80
36,"",The War of the Worlds,81
36,"And we men, the creatures who inhabit this earth, must be to them",The War of the Worlds,82
36,at least as alien and lowly as are the monkeys and lemurs to us.  The,The War of the Worlds,83
36,intellectual side of man already admits that life is an incessant,The War of the Worlds,84
36,"struggle for existence, and it would seem that this too is the belief",The War of the Worlds,85
36,of the minds upon Mars.  Their world is far gone in its cooling and,The War of the Worlds,86
36,"this world is still crowded with life, but crowded only with what they",The War of the Worlds,87
36,"regard as inferior animals.  To carry warfare sunward is, indeed,",The War of the Worlds,88
36,"their only escape from the destruction that, generation after",The War of the Worlds,89
36,"generation, creeps upon them.",The War of the Worlds,90
36,"",The War of the Worlds,91
36,And before we judge of them too harshly we must remember what,The War of the Worlds,92
36,"ruthless and utter destruction our own species has wrought, not only",The War of the Worlds,93
36,"upon animals, such as the vanished bison and the dodo, but upon its",The War of the Worlds,94
36,"inferior races.  The Tasmanians, in spite of their human likeness,",The War of the Worlds,95
36,were entirely swept out of existence in a war of extermination waged,The War of the Worlds,96
36,"by European immigrants, in the space of fifty years.  Are we such",The War of the Worlds,97
36,apostles of mercy as to complain if the Martians warred in the same,The War of the Worlds,98
36,spirit?,The War of the Worlds,99
36,"",The War of the Worlds,100
36,The Martians seem to have calculated their descent with amazing,The War of the Worlds,101
36,subtlety--their mathematical learning is evidently far in excess of,The War of the Worlds,102
36,ours--and to have carried out their preparations with a well-nigh,The War of the Worlds,103
36,"perfect unanimity.  Had our instruments permitted it, we might have",The War of the Worlds,104
36,seen the gathering trouble far back in the nineteenth century.  Men,The War of the Worlds,105
36,"like Schiaparelli watched the red planet--it is odd, by-the-bye, that",The War of the Worlds,106
36,for countless centuries Mars has been the star of war--but failed to,The War of the Worlds,107
36,interpret the fluctuating appearances of the markings they mapped so,The War of the Worlds,108
36,well.  All that time the Martians must have been getting ready.,The War of the Worlds,109
36,"",The War of the Worlds,110
36,During the opposition of 1894 a great light was seen on the,The War of the Worlds,111
36,"illuminated part of the disk, first at the Lick Observatory, then by",The War of the Worlds,112
36,"Perrotin of Nice, and then by other observers.  English readers heard",The War of the Worlds,113
36,of it first in the issue of _Nature_ dated August 2.  I am inclined to,The War of the Worlds,114
36,"think that this blaze may have been the casting of the huge gun, in",The War of the Worlds,115
36,"the vast pit sunk into their planet, from which their shots were fired",The War of the Worlds,116
36,"at us.  Peculiar markings, as yet unexplained, were seen near the site",The War of the Worlds,117
36,of that outbreak during the next two oppositions.,The War of the Worlds,118
36,"",The War of the Worlds,119
36,The storm burst upon us six years ago now.  As Mars approached,The War of the Worlds,120
36,"opposition, Lavelle of Java set the wires of the astronomical exchange",The War of the Worlds,121
36,palpitating with the amazing intelligence of a huge outbreak of,The War of the Worlds,122
36,incandescent gas upon the planet.  It had occurred towards midnight of,The War of the Worlds,123
36,"the twelfth; and the spectroscope, to which he had at once resorted,",The War of the Worlds,124
36,"indicated a mass of flaming gas, chiefly hydrogen, moving with an",The War of the Worlds,125
36,enormous velocity towards this earth.  This jet of fire had become,The War of the Worlds,126
36,invisible about a quarter past twelve.  He compared it to a colossal,The War of the Worlds,127
36,"puff of flame suddenly and violently squirted out of the planet, ""as",The War of the Worlds,128
36,"flaming gases rushed out of a gun.""",The War of the Worlds,129
36,"",The War of the Worlds,130
36,A singularly appropriate phrase it proved.  Yet the next day there,The War of the Worlds,131
36,was nothing of this in the papers except a little note in the _Daily,The War of the Worlds,132
36,"Telegraph_, and the world went in ignorance of one of the gravest",The War of the Worlds,133
36,dangers that ever threatened the human race. I might not have heard of,The War of the Worlds,134
36,"the eruption at all had I not met Ogilvy, the well-known astronomer,",The War of the Worlds,135
36,"at Ottershaw.  He was immensely excited at the news, and in the excess",The War of the Worlds,136
36,of his feelings invited me up to take a turn with him that night in a,The War of the Worlds,137
36,scrutiny of the red planet.,The War of the Worlds,138
36,"",The War of the Worlds,139
36,"In spite of all that has happened since, I still remember that",The War of the Worlds,140
36,"vigil very distinctly: the black and silent observatory, the shadowed",The War of the Worlds,141
36,"lantern throwing a feeble glow upon the floor in the corner, the",The War of the Worlds,142
36,"steady ticking of the clockwork of the telescope, the little slit in",The War of the Worlds,143
36,the roof--an oblong profundity with the stardust streaked across it.,The War of the Worlds,144
36,"Ogilvy moved about, invisible but audible.  Looking through the",The War of the Worlds,145
36,"telescope, one saw a circle of deep blue and the little round planet",The War of the Worlds,146
36,"swimming in the field.  It seemed such a little thing, so bright and",The War of the Worlds,147
36,"small and still, faintly marked with transverse stripes, and slightly",The War of the Worlds,148
36,"flattened from the perfect round.  But so little it was, so silvery",The War of the Worlds,149
36,"warm--a pin's-head of light! It was as if it quivered, but really this",The War of the Worlds,150
36,was the telescope vibrating with the activity of the clockwork that,The War of the Worlds,151
36,kept the planet in view.,The War of the Worlds,152
36,"",The War of the Worlds,153
36,"As I watched, the planet seemed to grow larger and smaller and to",The War of the Worlds,154
36,"advance and recede, but that was simply that my eye was tired.  Forty",The War of the Worlds,155
36,millions of miles it was from us--more than forty millions of miles of,The War of the Worlds,156
36,void.  Few people realise the immensity of vacancy in which the dust,The War of the Worlds,157
36,of the material universe swims.,The War of the Worlds,158
36,"",The War of the Worlds,159
36,"Near it in the field, I remember, were three faint points of light,",The War of the Worlds,160
36,"three telescopic stars infinitely remote, and all around it was the",The War of the Worlds,161
36,unfathomable darkness of empty space.  You know how that blackness,The War of the Worlds,162
36,looks on a frosty starlight night.  In a telescope it seems far,The War of the Worlds,163
36,"profounder.  And invisible to me because it was so remote and small,",The War of the Worlds,164
36,flying swiftly and steadily towards me across that incredible,The War of the Worlds,165
36,"distance, drawing nearer every minute by so many thousands of miles,",The War of the Worlds,166
36,"came the Thing they were sending us, the Thing that was to bring so",The War of the Worlds,167
36,much struggle and calamity and death to the earth.  I never dreamed of,The War of the Worlds,168
36,it then as I watched; no one on earth dreamed of that unerring,The War of the Worlds,169
36,missile.,The War of the Worlds,170
36,"",The War of the Worlds,171
36,"That night, too, there was another jetting out of gas from the",The War of the Worlds,172
36,"distant planet.  I saw it.  A reddish flash at the edge, the slightest",The War of the Worlds,173
36,projection of the outline just as the chronometer struck midnight; and,The War of the Worlds,174
36,at that I told Ogilvy and he took my place.  The night was warm and I,The War of the Worlds,175
36,"was thirsty, and I went stretching my legs clumsily and feeling my way",The War of the Worlds,176
36,"in the darkness, to the little table where the siphon stood, while",The War of the Worlds,177
36,Ogilvy exclaimed at the streamer of gas that came out towards us.,The War of the Worlds,178
36,"",The War of the Worlds,179
36,That night another invisible missile started on its way to the,The War of the Worlds,180
36,"earth from Mars, just a second or so under twenty-four hours after the",The War of the Worlds,181
36,"first one.  I remember how I sat on the table there in the blackness,",The War of the Worlds,182
36,with patches of green and crimson swimming before my eyes.  I wished I,The War of the Worlds,183
36,"had a light to smoke by, little suspecting the meaning of the minute",The War of the Worlds,184
36,gleam I had seen and all that it would presently bring me.  Ogilvy,The War of the Worlds,185
36,"watched till one, and then gave it up; and we lit the lantern and",The War of the Worlds,186
36,walked over to his house.  Down below in the darkness were Ottershaw,The War of the Worlds,187
36,"and Chertsey and all their hundreds of people, sleeping in peace.",The War of the Worlds,188
36,"",The War of the Worlds,189
36,"He was full of speculation that night about the condition of Mars,",The War of the Worlds,190
36,and scoffed at the vulgar idea of its having inhabitants who were,The War of the Worlds,191
36,signalling us.  His idea was that meteorites might be falling in a,The War of the Worlds,192
36,"heavy shower upon the planet, or that a huge volcanic explosion was in",The War of the Worlds,193
36,progress.  He pointed out to me how unlikely it was that organic,The War of the Worlds,194
36,evolution had taken the same direction in the two adjacent planets.,The War of the Worlds,195
36,"",The War of the Worlds,196
36,"""The chances against anything manlike on Mars are a million to",The War of the Worlds,197
36,"one,"" he said.",The War of the Worlds,198
36,"",The War of the Worlds,199
36,Hundreds of observers saw the flame that night and the night after,The War of the Worlds,200
36,"about midnight, and again the night after; and so for ten nights, a",The War of the Worlds,201
36,flame each night.  Why the shots ceased after the tenth no one on,The War of the Worlds,202
36,earth has attempted to explain.  It may be the gases of the firing,The War of the Worlds,203
36,"caused the Martians inconvenience.  Dense clouds of smoke or dust,",The War of the Worlds,204
36,"visible through a powerful telescope on earth as little grey,",The War of the Worlds,205
36,"fluctuating patches, spread through the clearness of the planet's",The War of the Worlds,206
36,atmosphere and obscured its more familiar features.,The War of the Worlds,207
36,"",The War of the Worlds,208
36,"Even the daily papers woke up to the disturbances at last, and",The War of the Worlds,209
36,"popular notes appeared here, there, and everywhere concerning the",The War of the Worlds,210
36,"volcanoes upon Mars.  The seriocomic periodical _Punch_, I remember,",The War of the Worlds,211
36,"made a happy use of it in the political cartoon.  And, all",The War of the Worlds,212
36,"unsuspected, those missiles the Martians had fired at us drew",The War of the Worlds,213
36,"earthward, rushing now at a pace of many miles a second through the",The War of the Worlds,214
36,"empty gulf of space, hour by hour and day by day, nearer and nearer.",The War of the Worlds,215
36,"It seems to me now almost incredibly wonderful that, with that swift",The War of the Worlds,216
36,"fate hanging over us, men could go about their petty concerns as they",The War of the Worlds,217
36,did.  I remember how jubilant Markham was at securing a new photograph,The War of the Worlds,218
36,of the planet for the illustrated paper he edited in those days.,The War of the Worlds,219
36,People in these latter times scarcely realise the abundance and,The War of the Worlds,220
36,"enterprise of our nineteenth-century papers.  For my own part, I was",The War of the Worlds,221
36,"much occupied in learning to ride the bicycle, and busy upon a series",The War of the Worlds,222
36,of papers discussing the probable developments of moral ideas as,The War of the Worlds,223
36,civilisation progressed.,The War of the Worlds,224
36,"",The War of the Worlds,225
36,One night (the first missile then could scarcely have been,The War of the Worlds,226
36,"10,000,000 miles away) I went for a walk with my wife.  It was",The War of the Worlds,227
36,"starlight and I explained the Signs of the Zodiac to her, and pointed",The War of the Worlds,228
36,"out Mars, a bright dot of light creeping zenithward, towards which so",The War of the Worlds,229
36,"many telescopes were pointed.  It was a warm night.  Coming home, a",The War of the Worlds,230
36,party of excursionists from Chertsey or Isleworth passed us singing,The War of the Worlds,231
36,and playing music.  There were lights in the upper windows of the,The War of the Worlds,232
36,houses as the people went to bed.  From the railway station in the,The War of the Worlds,233
36,"distance came the sound of shunting trains, ringing and rumbling,",The War of the Worlds,234
36,softened almost into melody by the distance.  My wife pointed out to,The War of the Worlds,235
36,"me the brightness of the red, green, and yellow signal lights hanging",The War of the Worlds,236
36,in a framework against the sky.  It seemed so safe and tranquil.,The War of the Worlds,237
36,"",The War of the Worlds,238
36,"",The War of the Worlds,239
36,"",The War of the Worlds,240
36,CHAPTER TWO,The War of the Worlds,241
36,"",The War of the Worlds,242
36,THE FALLING STAR,The War of the Worlds,243
36,"",The War of the Worlds,244
36,"",The War of the Worlds,245
36,Then came the night of the first falling star.  It was seen early,The War of the Worlds,246
36,"in the morning, rushing over Winchester eastward, a line of flame high",The War of the Worlds,247
36,"in the atmosphere.  Hundreds must have seen it, and taken it for an",The War of the Worlds,248
36,ordinary falling star.  Albin described it as leaving a greenish,The War of the Worlds,249
36,"streak behind it that glowed for some seconds.  Denning, our greatest",The War of the Worlds,250
36,"authority on meteorites, stated that the height of its first",The War of the Worlds,251
36,appearance was about ninety or one hundred miles.  It seemed to him,The War of the Worlds,252
36,that it fell to earth about one hundred miles east of him.,The War of the Worlds,253
36,"",The War of the Worlds,254
36,I was at home at that hour and writing in my study; and although my,The War of the Worlds,255
36,French windows face towards Ottershaw and the blind was up (for I,The War of the Worlds,256
36,"loved in those days to look up at the night sky), I saw nothing of it.",The War of the Worlds,257
36,Yet this strangest of all things that ever came to earth from outer,The War of the Worlds,258
36,"space must have fallen while I was sitting there, visible to me had I",The War of the Worlds,259
36,only looked up as it passed.  Some of those who saw its flight say it,The War of the Worlds,260
36,travelled with a hissing sound.  I myself heard nothing of that.  Many,The War of the Worlds,261
36,"people in Berkshire, Surrey, and Middlesex must have seen the fall of",The War of the Worlds,262
36,"it, and, at most, have thought that another meteorite had descended.",The War of the Worlds,263
36,No one seems to have troubled to look for the fallen mass that night.,The War of the Worlds,264
36,"",The War of the Worlds,265
36,"But very early in the morning poor Ogilvy, who had seen the",The War of the Worlds,266
36,shooting star and who was persuaded that a meteorite lay somewhere on,The War of the Worlds,267
36,"the common between Horsell, Ottershaw, and Woking, rose early with the",The War of the Worlds,268
36,"idea of finding it.  Find it he did, soon after dawn, and not far from",The War of the Worlds,269
36,the sand pits.  An enormous hole had been made by the impact of the,The War of the Worlds,270
36,"projectile, and the sand and gravel had been flung violently in every",The War of the Worlds,271
36,"direction over the heath, forming heaps visible a mile and a half",The War of the Worlds,272
36,"away.  The heather was on fire eastward, and a thin blue smoke rose",The War of the Worlds,273
36,against the dawn.,The War of the Worlds,274
36,"",The War of the Worlds,275
36,"The Thing itself lay almost entirely buried in sand, amidst the",The War of the Worlds,276
36,scattered splinters of a fir tree it had shivered to fragments in its,The War of the Worlds,277
36,"descent.  The uncovered part had the appearance of a huge cylinder,",The War of the Worlds,278
36,caked over and its outline softened by a thick scaly dun-coloured,The War of the Worlds,279
36,incrustation.  It had a diameter of about thirty yards.  He approached,The War of the Worlds,280
36,"the mass, surprised at the size and more so at the shape, since most",The War of the Worlds,281
36,"meteorites are rounded more or less completely.  It was, however,",The War of the Worlds,282
36,still so hot from its flight through the air as to forbid his near,The War of the Worlds,283
36,approach.  A stirring noise within its cylinder he ascribed to the,The War of the Worlds,284
36,unequal cooling of its surface; for at that time it had not occurred,The War of the Worlds,285
36,to him that it might be hollow.,The War of the Worlds,286
36,"",The War of the Worlds,287
36,He remained standing at the edge of the pit that the Thing had made,The War of the Worlds,288
36,"for itself, staring at its strange appearance, astonished chiefly at",The War of the Worlds,289
36,"its unusual shape and colour, and dimly perceiving even then some",The War of the Worlds,290
36,evidence of design in its arrival.  The early morning was wonderfully,The War of the Worlds,291
36,"still, and the sun, just clearing the pine trees towards Weybridge,",The War of the Worlds,292
36,"was already warm.  He did not remember hearing any birds that morning,",The War of the Worlds,293
36,"there was certainly no breeze stirring, and the only sounds were the",The War of the Worlds,294
36,faint movements from within the cindery cylinder.  He was all alone on,The War of the Worlds,295
36,the common.,The War of the Worlds,296
36,"",The War of the Worlds,297
36,Then suddenly he noticed with a start that some of the grey,The War of the Worlds,298
36,"clinker, the ashy incrustation that covered the meteorite, was falling",The War of the Worlds,299
36,off the circular edge of the end.  It was dropping off in flakes and,The War of the Worlds,300
36,raining down upon the sand.  A large piece suddenly came off and fell,The War of the Worlds,301
36,with a sharp noise that brought his heart into his mouth.,The War of the Worlds,302
36,"",The War of the Worlds,303
36,"For a minute he scarcely realised what this meant, and, although",The War of the Worlds,304
36,"the heat was excessive, he clambered down into the pit close to the",The War of the Worlds,305
36,bulk to see the Thing more clearly.  He fancied even then that the,The War of the Worlds,306
36,"cooling of the body might account for this, but what disturbed that",The War of the Worlds,307
36,idea was the fact that the ash was falling only from the end of the,The War of the Worlds,308
36,cylinder.,The War of the Worlds,309
36,"",The War of the Worlds,310
36,"And then he perceived that, very slowly, the circular top of the",The War of the Worlds,311
36,cylinder was rotating on its body.  It was such a gradual movement,The War of the Worlds,312
36,that he discovered it only through noticing that a black mark that had,The War of the Worlds,313
36,been near him five minutes ago was now at the other side of the,The War of the Worlds,314
36,"circumference.  Even then he scarcely understood what this indicated,",The War of the Worlds,315
36,until he heard a muffled grating sound and saw the black mark jerk,The War of the Worlds,316
36,forward an inch or so.  Then the thing came upon him in a flash.  The,The War of the Worlds,317
36,cylinder was artificial--hollow--with an end that screwed out!,The War of the Worlds,318
36,Something within the cylinder was unscrewing the top!,The War of the Worlds,319
36,"",The War of the Worlds,320
36,"""Good heavens!"" said Ogilvy.  ""There's a man in it--men in it! Half",The War of the Worlds,321
36,"roasted to death!  Trying to escape!""",The War of the Worlds,322
36,"",The War of the Worlds,323
36,"At once, with a quick mental leap, he linked the Thing with the",The War of the Worlds,324
36,flash upon Mars.,The War of the Worlds,325
36,"",The War of the Worlds,326
36,The thought of the confined creature was so dreadful to him that he,The War of the Worlds,327
36,forgot the heat and went forward to the cylinder to help turn.  But,The War of the Worlds,328
36,luckily the dull radiation arrested him before he could burn his hands,The War of the Worlds,329
36,"on the still-glowing metal.  At that he stood irresolute for a moment,",The War of the Worlds,330
36,"then turned, scrambled out of the pit, and set off running wildly into",The War of the Worlds,331
36,Woking.  The time then must have been somewhere about six o'clock.,The War of the Worlds,332
36,"He met a waggoner and tried to make him understand, but the tale he",The War of the Worlds,333
36,told and his appearance were so wild--his hat had fallen off in the,The War of the Worlds,334
36,pit--that the man simply drove on.  He was equally unsuccessful with the,The War of the Worlds,335
36,potman who was just unlocking the doors of the public-house by Horsell,The War of the Worlds,336
36,Bridge.  The fellow thought he was a lunatic at large and made an,The War of the Worlds,337
36,unsuccessful attempt to shut him into the taproom.  That sobered him a,The War of the Worlds,338
36,"little; and when he saw Henderson, the London journalist, in his",The War of the Worlds,339
36,"garden, he called over the palings and made himself understood.",The War of the Worlds,340
36,"",The War of the Worlds,341
36,"""Henderson,"" he called, ""you saw that shooting star last night?""",The War of the Worlds,342
36,"",The War of the Worlds,343
36,"""Well?"" said Henderson.",The War of the Worlds,344
36,"",The War of the Worlds,345
36,"""It's out on Horsell Common now.""",The War of the Worlds,346
36,"",The War of the Worlds,347
36,"""Good Lord!"" said Henderson.  ""Fallen meteorite!  That's good.""",The War of the Worlds,348
36,"",The War of the Worlds,349
36,"""But it's something more than a meteorite.  It's a cylinder--an",The War of the Worlds,350
36,"artificial cylinder, man!  And there's something inside.""",The War of the Worlds,351
36,"",The War of the Worlds,352
36,Henderson stood up with his spade in his hand.,The War of the Worlds,353
36,"",The War of the Worlds,354
36,"""What's that?"" he said.  He was deaf in one ear.",The War of the Worlds,355
36,"",The War of the Worlds,356
36,Ogilvy told him all that he had seen.  Henderson was a minute or so,The War of the Worlds,357
36,"taking it in.  Then he dropped his spade, snatched up his jacket, and",The War of the Worlds,358
36,came out into the road.  The two men hurried back at once to the,The War of the Worlds,359
36,"common, and found the cylinder still lying in the same position.  But",The War of the Worlds,360
36,"now the sounds inside had ceased, and a thin circle of bright metal",The War of the Worlds,361
36,showed between the top and the body of the cylinder.  Air was either,The War of the Worlds,362
36,"entering or escaping at the rim with a thin, sizzling sound.",The War of the Worlds,363
36,"",The War of the Worlds,364
36,"They listened, rapped on the scaly burnt metal with a stick, and,",The War of the Worlds,365
36,"meeting with no response, they both concluded the man or men inside",The War of the Worlds,366
36,must be insensible or dead.,The War of the Worlds,367
36,"",The War of the Worlds,368
36,Of course the two were quite unable to do anything.  They shouted,The War of the Worlds,369
36,"consolation and promises, and went off back to the town again to get",The War of the Worlds,370
36,"help.  One can imagine them, covered with sand, excited and",The War of the Worlds,371
36,"disordered, running up the little street in the bright sunlight just",The War of the Worlds,372
36,as the shop folks were taking down their shutters and people were,The War of the Worlds,373
36,opening their bedroom windows.  Henderson went into the railway,The War of the Worlds,374
36,"station at once, in order to telegraph the news to London.  The",The War of the Worlds,375
36,newspaper articles had prepared men's minds for the reception of the,The War of the Worlds,376
36,idea.,The War of the Worlds,377
36,"",The War of the Worlds,378
36,By eight o'clock a number of boys and unemployed men had already,The War of the Worlds,379
36,"started for the common to see the ""dead men from Mars.""  That was the",The War of the Worlds,380
36,form the story took.  I heard of it first from my newspaper boy about,The War of the Worlds,381
36,a quarter to nine when I went out to get my _Daily Chronicle_.  I was,The War of the Worlds,382
36,"naturally startled, and lost no time in going out and across the",The War of the Worlds,383
36,Ottershaw bridge to the sand pits.,The War of the Worlds,384
36,"",The War of the Worlds,385
36,"",The War of the Worlds,386
36,"",The War of the Worlds,387
36,CHAPTER THREE,The War of the Worlds,388
36,"",The War of the Worlds,389
36,ON HORSELL COMMON,The War of the Worlds,390
36,"",The War of the Worlds,391
36,"",The War of the Worlds,392
36,I found a little crowd of perhaps twenty people surrounding the,The War of the Worlds,393
36,huge hole in which the cylinder lay.  I have already described the,The War of the Worlds,394
36,"appearance of that colossal bulk, embedded in the ground.  The turf",The War of the Worlds,395
36,and gravel about it seemed charred as if by a sudden explosion.  No,The War of the Worlds,396
36,doubt its impact had caused a flash of fire.  Henderson and Ogilvy,The War of the Worlds,397
36,were not there.  I think they perceived that nothing was to be done,The War of the Worlds,398
36,"for the present, and had gone away to breakfast at Henderson's house.",The War of the Worlds,399
36,"",The War of the Worlds,400
36,"There were four or five boys sitting on the edge of the Pit, with",The War of the Worlds,401
36,"their feet dangling, and amusing themselves--until I stopped them--by",The War of the Worlds,402
36,throwing stones at the giant mass.  After I had spoken to them about,The War of the Worlds,403
36,"it, they began playing at ""touch"" in and out of the group of",The War of the Worlds,404
36,bystanders.,The War of the Worlds,405
36,"",The War of the Worlds,406
36,"Among these were a couple of cyclists, a jobbing gardener I",The War of the Worlds,407
36,"employed sometimes, a girl carrying a baby, Gregg the butcher and his",The War of the Worlds,408
36,"little boy, and two or three loafers and golf caddies who were",The War of the Worlds,409
36,accustomed to hang about the railway station.  There was very little,The War of the Worlds,410
36,talking.  Few of the common people in England had anything but the,The War of the Worlds,411
36,vaguest astronomical ideas in those days.  Most of them were staring,The War of the Worlds,412
36,"quietly at the big table like end of the cylinder, which was still as",The War of the Worlds,413
36,Ogilvy and Henderson had left it.  I fancy the popular expectation of,The War of the Worlds,414
36,a heap of charred corpses was disappointed at this inanimate bulk.,The War of the Worlds,415
36,"Some went away while I was there, and other people came.  I clambered",The War of the Worlds,416
36,into the pit and fancied I heard a faint movement under my feet.  The,The War of the Worlds,417
36,top had certainly ceased to rotate.,The War of the Worlds,418
36,"",The War of the Worlds,419
36,It was only when I got thus close to it that the strangeness of,The War of the Worlds,420
36,this object was at all evident to me.  At the first glance it was,The War of the Worlds,421
36,really no more exciting than an overturned carriage or a tree blown,The War of the Worlds,422
36,"across the road.  Not so much so, indeed.  It looked like a rusty gas",The War of the Worlds,423
36,float.  It required a certain amount of scientific education to,The War of the Worlds,424
36,"perceive that the grey scale of the Thing was no common oxide, that",The War of the Worlds,425
36,the yellowish-white metal that gleamed in the crack between the lid,The War of the Worlds,426
36,"and the cylinder had an unfamiliar hue.  ""Extra-terrestrial"" had no",The War of the Worlds,427
36,meaning for most of the onlookers.,The War of the Worlds,428
36,"",The War of the Worlds,429
36,At that time it was quite clear in my own mind that the Thing had,The War of the Worlds,430
36,"come from the planet Mars, but I judged it improbable that it",The War of the Worlds,431
36,contained any living creature.  I thought the unscrewing might be,The War of the Worlds,432
36,"automatic.  In spite of Ogilvy, I still believed that there were men",The War of the Worlds,433
36,in Mars.  My mind ran fancifully on the possibilities of its,The War of the Worlds,434
36,"containing manuscript, on the difficulties in translation that might",The War of the Worlds,435
36,"arise, whether we should find coins and models in it, and so forth.",The War of the Worlds,436
36,Yet it was a little too large for assurance on this idea.  I felt an,The War of the Worlds,437
36,"impatience to see it opened.  About eleven, as nothing seemed",The War of the Worlds,438
36,"happening, I walked back, full of such thought, to my home in Maybury.",The War of the Worlds,439
36,But I found it difficult to get to work upon my abstract,The War of the Worlds,440
36,investigations.,The War of the Worlds,441
36,"",The War of the Worlds,442
